GeographyCode,LC3401NI0001,LC3401NI0002,LC3401NI0003,LC3401NI0004,LC3401NI0005,LC3401NI0006,LC3401NI0007,LC3401NI0008,LC3401NI0009,LC3401NI0010,LC3401NI0011,LC3401NI0012,LC3401NI0013,LC3401NI0014,LC3401NI0015
N00000001,982,940,42,744,712,32,158,149,9,46,46,0,34,33,1
N00000002,351,295,56,235,199,36,32,25,7,49,40,9,35,31,4
N00000003,233,194,39,202,167,35,17,15,2,8,6,2,6,6,0
N00000004,616,536,80,450,388,62,102,92,10,38,31,7,26,25,1
N00000005,374,327,47,290,251,39,40,35,5,32,30,2,12,11,1
N00000006,240,211,29,168,151,17,48,40,8,24,20,4,0,0,0
N00000007,245,219,26,174,155,19,25,20,5,28,26,2,18,18,0
N00000008,288,230,58,182,152,30,60,44,16,31,23,8,15,11,4
N00000009,727,634,93,536,468,68,140,121,19,39,33,6,12,12,0
N00000010,234,199,35,180,151,29,20,17,3,24,21,3,10,10,0
N00000011,293,201,92,136,90,46,79,54,25,48,37,11,30,20,10
N00000012,264,200,64,88,59,29,71,52,19,73,61,12,32,28,4
N00000013,268,196,72,121,82,39,56,39,17,47,38,9,44,37,7
N00000014,460,356,104,170,130,40,162,124,38,85,63,22,43,39,4
N00000015,226,146,80,91,52,39,84,56,28,33,23,10,18,15,3
N00000016,223,142,81,72,34,38,76,48,28,60,46,14,15,14,1
N00000017,340,268,72,131,106,25,106,77,29,81,67,14,22,18,4
N00000018,229,185,44,110,82,28,73,63,10,34,30,4,12,10,2
N00000019,261,192,69,82,49,33,88,66,22,52,39,13,39,38,1
N00000020,236,172,64,57,30,27,83,57,26,82,72,10,14,13,1
N00000021,269,186,83,127,80,47,84,63,21,40,32,8,18,11,7
N00000022,269,192,77,65,41,24,75,54,21,84,58,26,45,39,6
N00000023,218,151,67,69,51,18,78,46,32,54,40,14,17,14,3
N00000024,533,469,64,431,382,49,52,45,7,39,31,8,11,11,0
N00000025,460,372,88,351,287,64,54,42,12,26,21,5,29,22,7
N00000026,460,392,68,385,334,51,34,27,7,11,7,4,30,24,6
N00000027,535,472,63,330,289,41,72,64,8,111,100,11,22,19,3
N00000028,236,209,27,135,117,18,43,41,2,51,45,6,7,6,1
N00000029,403,354,49,349,309,40,39,32,7,14,12,2,1,1,0
N00000030,375,309,66,304,255,49,44,38,6,6,2,4,21,14,7
N00000031,699,608,91,469,405,64,117,108,9,49,41,8,64,54,10
N00000032,386,320,66,236,191,45,54,45,9,66,60,6,30,24,6
N00000033,495,431,64,375,334,41,78,62,16,15,13,2,27,22,5
N00000034,438,378,60,319,281,38,60,51,9,41,31,10,18,15,3
N00000035,291,208,83,95,59,36,96,73,23,85,64,21,15,12,3
N00000036,345,292,53,190,164,26,111,93,18,25,20,5,19,15,4
N00000037,285,216,69,125,84,41,88,70,18,45,37,8,27,25,2
N00000038,406,325,81,240,191,49,78,57,21,52,44,8,36,33,3
N00000039,1262,1076,186,586,502,84,353,299,54,212,179,33,111,96,15
N00000040,265,208,57,77,58,19,112,95,17,51,35,16,25,20,5
N00000041,462,391,71,327,273,54,88,75,13,40,37,3,7,6,1
N00000042,410,352,58,242,201,41,82,72,10,42,41,1,44,38,6
N00000043,1202,1040,162,710,614,96,239,209,30,145,132,13,108,85,23
N00000044,312,252,60,74,49,25,94,69,25,98,91,7,46,43,3
N00000045,515,449,66,414,364,50,47,43,4,32,24,8,22,18,4
N00000046,394,333,61,290,250,40,54,44,10,17,16,1,33,23,10
N00000047,353,287,66,249,207,42,56,42,14,28,21,7,20,17,3
N00000048,304,234,70,82,59,23,111,85,26,70,56,14,41,34,7
N00000049,254,194,60,101,76,25,90,68,22,42,32,10,21,18,3
N00000050,299,241,58,191,165,26,69,51,18,32,18,14,7,7,0
N00000051,313,235,78,116,73,43,78,63,15,76,60,16,43,39,4
N00000052,309,239,70,139,96,43,46,42,4,75,56,19,49,45,4
N00000053,252,197,55,89,58,31,52,41,11,65,55,10,46,43,3
N00000054,266,215,51,115,88,27,86,67,19,53,52,1,12,8,4
N00000055,266,192,74,112,68,44,83,65,18,40,34,6,31,25,6
N00000056,270,194,76,98,55,43,85,68,17,66,52,14,21,19,2
N00000057,279,212,67,59,29,30,97,73,24,76,65,11,47,45,2
N00000058,266,200,66,72,44,28,107,84,23,65,52,13,22,20,2
N00000059,226,168,58,65,37,28,80,68,12,53,40,13,28,23,5
N00000060,394,281,113,102,66,36,166,118,48,104,83,21,22,14,8
N00000061,273,217,56,217,177,40,40,31,9,16,9,7,0,0,0
N00000062,351,296,55,281,249,32,28,15,13,32,25,7,10,7,3
N00000063,354,259,95,133,100,33,96,67,29,96,69,27,29,23,6
N00000064,279,196,83,79,41,38,95,68,27,79,63,16,26,24,2
N00000065,389,319,70,257,206,51,90,75,15,33,29,4,9,9,0
N00000066,264,213,51,153,117,36,73,63,10,35,30,5,3,3,0
N00000067,316,222,94,115,63,52,104,86,18,51,38,13,46,35,11
N00000068,371,317,54,286,246,40,55,44,11,14,13,1,16,14,2
N00000069,334,238,96,93,57,36,79,61,18,107,75,32,55,45,10
N00000070,243,191,52,179,138,41,48,40,8,16,13,3,0,0,0
N00000071,258,186,72,118,81,37,67,47,20,44,36,8,29,22,7
N00000072,1753,1537,216,1077,945,132,402,352,50,209,190,19,65,50,15
N00000073,444,325,119,153,113,40,141,105,36,106,75,31,44,32,12
N00000074,1047,953,94,637,576,61,252,230,22,120,110,10,38,37,1
N00000075,277,216,61,179,136,43,48,36,12,30,24,6,20,20,0
N00000076,344,300,44,201,166,35,92,85,7,25,25,0,26,24,2
N00000077,275,226,49,161,133,28,73,58,15,27,23,4,14,12,2
N00000078,488,445,43,312,282,30,127,115,12,46,45,1,3,3,0
N00000079,564,525,39,492,458,34,32,27,5,21,21,0,19,19,0
N00000080,424,370,54,326,286,40,41,34,7,47,41,6,10,9,1
N00000081,339,276,63,212,182,30,51,32,19,51,40,11,25,22,3
N00000082,342,292,50,301,257,44,23,18,5,11,11,0,7,6,1
N00000083,650,571,79,562,495,67,60,51,9,9,9,0,19,16,3
N00000084,456,405,51,400,358,42,22,15,7,23,21,2,11,11,0
N00000085,399,291,108,164,121,43,76,47,29,103,77,26,56,46,10
N00000086,395,338,57,160,137,23,100,84,16,102,88,14,33,29,4
N00000087,913,805,108,630,560,70,152,130,22,90,78,12,41,37,4
N00000088,216,133,83,55,33,22,63,42,21,71,44,27,27,14,13
N00000089,478,415,63,211,182,29,119,110,9,88,78,10,60,45,15
N00000090,391,326,65,216,181,35,93,82,11,42,31,11,40,32,8
N00000091,476,411,65,277,240,37,102,88,14,73,63,10,24,20,4
N00000092,504,418,86,386,332,54,85,59,26,24,21,3,9,6,3
N00000093,400,333,67,264,215,49,70,56,14,32,29,3,34,33,1
N00000094,492,420,72,399,335,64,48,43,5,20,18,2,25,24,1
N00000095,468,402,66,343,306,37,50,36,14,50,41,9,25,19,6
N00000096,438,359,79,372,314,58,31,20,11,17,11,6,18,14,4
N00000097,850,741,109,425,355,70,261,231,30,128,119,9,36,36,0
N00000098,1181,1066,115,563,492,71,308,289,19,219,201,18,91,84,7
N00000099,258,178,80,109,67,42,83,54,29,36,31,5,30,26,4
N00000100,341,261,80,119,96,23,131,92,39,48,35,13,43,38,5
N00000101,282,238,44,62,50,12,113,105,8,52,32,20,55,51,4
N00000102,318,250,68,172,129,43,70,59,11,48,37,11,28,25,3
N00000103,550,476,74,237,207,30,187,158,29,96,86,10,30,25,5
N00000104,322,276,46,109,91,18,120,109,11,44,33,11,49,43,6
N00000105,327,247,80,113,67,46,72,57,15,88,73,15,54,50,4
N00000106,198,139,59,52,33,19,55,36,19,73,53,20,18,17,1
N00000107,269,193,76,77,47,30,79,66,13,99,71,28,14,9,5
N00000108,243,187,56,154,120,34,63,50,13,21,13,8,5,4,1
N00000109,512,399,113,172,119,53,219,180,39,79,62,17,42,38,4
N00000110,258,203,55,103,72,31,92,81,11,37,30,7,26,20,6
N00000111,356,296,60,207,167,40,82,72,10,44,37,7,23,20,3
N00000112,402,347,55,182,142,40,98,91,7,79,74,5,43,40,3
N00000113,309,242,67,140,104,36,87,71,16,73,60,13,9,7,2
N00000114,318,267,51,154,115,39,119,108,11,42,41,1,3,3,0
N00000115,302,221,81,84,47,37,126,99,27,49,40,9,43,35,8
N00000116,287,232,55,78,58,20,97,74,23,71,64,7,41,36,5
N00000117,168,112,56,47,25,22,52,37,15,46,33,13,23,17,6
N00000118,311,270,41,225,199,26,37,29,8,25,20,5,24,22,2
N00000119,289,234,55,249,203,46,20,14,6,5,3,2,15,14,1
N00000120,323,281,42,268,236,32,31,26,5,22,19,3,2,0,2
N00000121,293,223,70,124,96,28,100,75,25,42,30,12,27,22,5
N00000122,481,437,44,369,334,35,69,65,4,27,23,4,16,15,1
N00000123,351,296,55,296,248,48,35,29,6,8,8,0,12,11,1
N00000124,325,279,46,273,232,41,25,23,2,15,12,3,12,12,0
N00000125,464,405,59,291,253,38,72,64,8,35,30,5,66,58,8
N00000126,481,403,78,260,220,40,82,71,11,76,66,10,63,46,17
N00000127,405,341,64,229,200,29,64,49,15,67,57,10,45,35,10
N00000128,949,823,126,578,498,80,111,95,16,108,94,14,152,136,16
N00000129,346,244,102,83,43,40,89,58,31,105,87,18,69,56,13
N00000130,498,455,43,364,329,35,82,79,3,37,34,3,15,13,2
N00000131,388,328,60,288,236,52,66,61,5,25,23,2,9,8,1
N00000132,366,312,54,273,236,37,63,52,11,20,14,6,10,10,0
N00000133,322,241,81,180,136,44,74,51,23,55,43,12,13,11,2
N00000134,437,376,61,284,244,40,84,77,7,47,40,7,22,15,7
N00000135,312,233,79,89,60,29,108,78,30,71,58,13,44,37,7
N00000136,507,420,87,346,283,63,106,90,16,40,34,6,15,13,2
N00000137,315,258,57,195,165,30,77,55,22,37,33,4,6,5,1
N00000138,464,425,39,322,292,30,95,89,6,34,32,2,13,12,1
N00000139,288,210,78,169,123,46,45,32,13,40,30,10,34,25,9
N00000140,333,228,105,193,135,58,76,53,23,42,25,17,22,15,7
N00000141,443,273,170,132,72,60,142,94,48,127,93,34,42,14,28
N00000142,205,147,58,91,60,31,66,48,18,32,26,6,16,13,3
N00000143,215,145,70,48,34,14,76,49,27,71,50,21,20,12,8
N00000144,228,166,62,80,61,19,74,51,23,54,42,12,20,12,8
N00000145,124,65,59,26,20,6,32,13,19,30,16,14,36,16,20
N00000146,271,236,35,208,185,23,27,21,6,26,22,4,10,8,2
N00000147,227,165,62,113,79,34,53,38,15,44,35,9,17,13,4
N00000148,676,542,134,315,256,59,206,169,37,115,88,27,40,29,11
N00000149,432,319,113,222,159,63,129,101,28,53,38,15,28,21,7
N00000150,365,279,86,287,233,54,46,31,15,19,13,6,13,2,11
N00000151,283,195,88,126,82,44,71,50,21,63,52,11,23,11,12
N00000152,270,179,91,80,54,26,98,60,38,77,54,23,15,11,4
N00000153,250,185,65,97,70,27,75,54,21,56,43,13,22,18,4
N00000154,259,202,57,112,84,28,69,54,15,44,35,9,34,29,5
N00000155,335,270,65,197,159,38,65,52,13,45,35,10,28,24,4
N00000156,301,230,71,189,142,47,66,57,9,30,23,7,16,8,8
N00000157,368,294,74,291,245,46,35,23,12,36,20,16,6,6,0
N00000158,678,508,170,410,307,103,139,95,44,80,71,9,49,35,14
N00000159,221,158,63,91,71,20,71,46,25,54,37,17,5,4,1
N00000160,283,222,61,185,150,35,46,30,16,31,27,4,21,15,6
N00000161,342,296,46,328,285,43,1,0,1,6,4,2,7,7,0
N00000162,242,184,58,140,102,38,59,49,10,36,28,8,7,5,2
N00000163,311,209,102,63,50,13,103,74,29,113,67,46,32,18,14
N00000164,288,247,41,263,225,38,11,9,2,10,10,0,4,3,1
N00000165,325,266,59,248,205,43,28,20,8,30,22,8,19,19,0
N00000166,273,202,71,195,147,48,56,39,17,22,16,6,0,0,0
N00000167,379,320,59,297,251,46,39,32,7,30,24,6,13,13,0
N00000168,345,297,48,265,226,39,49,41,8,23,23,0,8,7,1
N00000169,704,562,142,488,394,94,125,94,31,70,58,12,21,16,5
N00000170,370,302,68,221,173,48,75,67,8,57,49,8,17,13,4
N00000171,416,360,56,357,315,42,35,25,10,12,10,2,12,10,2
N00000172,772,623,149,553,454,99,142,112,30,46,34,12,31,23,8
N00000173,373,302,71,298,245,53,38,28,10,24,18,6,13,11,2
N00000174,393,288,105,117,85,32,160,117,43,90,67,23,26,19,7
N00000175,373,293,80,199,156,43,117,90,27,44,40,4,13,7,6
N00000176,474,342,132,154,98,56,186,138,48,87,69,18,47,37,10
N00000177,323,230,93,79,56,23,114,68,46,92,74,18,38,32,6
N00000178,667,462,205,241,165,76,186,116,70,159,117,42,81,64,17
N00000179,852,570,282,182,130,52,286,180,106,256,169,87,128,91,37
N00000180,280,197,83,64,40,24,95,58,37,99,81,18,22,18,4
N00000181,274,196,78,45,28,17,80,55,25,94,71,23,55,42,13
N00000182,228,167,61,83,51,32,77,64,13,58,43,15,10,9,1
N00000183,293,242,51,133,106,27,73,57,16,64,60,4,23,19,4
N00000184,315,245,70,111,86,25,72,57,15,85,72,13,47,30,17
N00000185,211,134,77,101,78,23,49,26,23,45,22,23,16,8,8
N00000186,299,232,67,102,77,25,70,54,16,114,91,23,13,10,3
N00000187,255,154,101,47,26,21,86,36,50,88,74,14,34,18,16
N00000188,347,269,78,120,82,38,95,82,13,70,52,18,62,53,9
N00000189,341,296,45,296,254,42,34,32,2,9,8,1,2,2,0
N00000190,304,252,52,213,173,40,49,41,8,37,34,3,5,4,1
N00000191,303,249,54,184,140,44,84,77,7,9,8,1,26,24,2
N00000192,302,235,67,156,122,34,86,70,16,29,18,11,31,25,6
N00000193,291,228,63,39,29,10,88,54,34,101,88,13,63,57,6
N00000194,255,175,80,81,56,25,115,73,42,25,24,1,34,22,12
N00000195,246,150,96,86,50,36,77,47,30,63,42,21,20,11,9
N00000196,237,135,102,51,24,27,106,52,54,48,40,8,32,19,13
N00000197,326,279,47,178,152,26,95,85,10,42,35,7,11,7,4
N00000198,287,236,51,153,119,34,59,51,8,72,63,9,3,3,0
N00000199,350,296,54,193,158,35,85,71,14,50,46,4,22,21,1
N00000200,331,274,57,159,125,34,97,85,12,59,49,10,16,15,1
N00000201,294,235,59,207,175,32,51,38,13,34,21,13,2,1,1
N00000202,304,263,41,218,190,28,58,50,8,28,23,5,0,0,0
N00000203,334,267,67,232,185,47,41,28,13,43,40,3,18,14,4
N00000204,359,300,59,181,148,33,114,95,19,56,49,7,8,8,0
N00000205,303,255,48,193,168,25,80,62,18,22,18,4,8,7,1
N00000206,390,318,72,116,95,21,94,73,21,139,115,24,41,35,6
N00000207,253,210,43,128,106,22,70,59,11,46,37,9,9,8,1
N00000208,316,256,60,222,183,39,45,37,8,35,27,8,14,9,5
N00000209,356,323,33,290,260,30,35,33,2,28,27,1,3,3,0
N00000210,373,285,88,140,108,32,96,76,20,93,64,29,44,37,7
N00000211,520,363,157,215,168,47,154,94,60,86,60,26,65,41,24
N00000212,166,125,41,46,32,14,52,41,11,31,25,6,37,27,10
N00000213,281,213,68,169,135,34,49,37,12,56,38,18,7,3,4
N00000214,323,277,46,162,149,13,68,48,20,71,61,10,22,19,3
N00000215,400,346,54,364,316,48,20,16,4,10,9,1,6,5,1
