GeographyCode,LC3605NI0001,LC3605NI0002,LC3605NI0003,LC3605NI0004,LC3605NI0005,LC3605NI0006,LC3605NI0007,LC3605NI0008,LC3605NI0009,LC3605NI0010,LC3605NI0011,LC3605NI0012,LC3605NI0013,LC3605NI0014,LC3605NI0015,LC3605NI0016,LC3605NI0017,LC3605NI0018,LC3605NI0019,LC3605NI0020,LC3605NI0021,LC3605NI0022,LC3605NI0023,LC3605NI0024
N00000001,754,27,727,591,17,574,97,6,91,494,11,483,163,10,153,3,2,1,3,3,0,157,5,152
N00000002,249,38,211,170,10,160,45,6,39,125,4,121,79,28,51,32,10,22,16,15,1,31,3,28
N00000003,166,31,135,115,11,104,31,4,27,84,7,77,51,20,31,19,9,10,9,9,0,23,2,21
N00000004,449,62,387,310,22,288,95,5,90,215,17,198,139,40,99,49,19,30,16,12,4,74,9,65
N00000005,275,39,236,210,17,193,48,5,43,162,12,150,65,22,43,29,8,21,12,11,1,24,3,21
N00000006,174,19,155,134,5,129,41,3,38,93,2,91,40,14,26,11,3,8,10,9,1,19,2,17
N00000007,176,20,156,130,12,118,28,3,25,102,9,93,46,8,38,21,6,15,2,1,1,23,1,22
N00000008,229,36,193,162,15,147,30,7,23,132,8,124,67,21,46,26,14,12,8,6,2,33,1,32
N00000009,533,50,483,408,18,390,97,7,90,311,11,300,125,32,93,55,17,38,12,10,2,58,5,53
N00000010,172,28,144,113,8,105,31,3,28,82,5,77,59,20,39,30,11,19,6,4,2,23,5,18
N00000011,214,58,156,130,17,113,40,6,34,90,11,79,84,41,43,40,21,19,16,13,3,28,7,21
N00000012,207,50,157,132,13,119,43,4,39,89,9,80,75,37,38,50,25,25,10,9,1,15,3,12
N00000013,197,47,150,116,13,103,25,6,19,91,7,84,81,34,47,30,16,14,11,10,1,40,8,32
N00000014,359,77,282,265,24,241,71,9,62,194,15,179,94,53,41,41,29,12,23,20,3,30,4,26
N00000015,170,60,110,85,10,75,30,4,26,55,6,49,85,50,35,36,21,15,21,20,1,28,9,19
N00000016,172,50,122,98,7,91,20,3,17,78,4,74,74,43,31,35,23,12,18,17,1,21,3,18
N00000017,244,52,192,150,8,142,50,4,46,100,4,96,94,44,50,35,18,17,16,14,2,43,12,31
N00000018,165,28,137,109,14,95,24,3,21,85,11,74,56,14,42,17,5,12,5,4,1,34,5,29
N00000019,201,53,148,116,13,103,34,8,26,82,5,77,85,40,45,33,13,20,24,23,1,28,4,24
N00000020,158,45,113,88,10,78,28,3,25,60,7,53,70,35,35,21,12,9,16,16,0,33,7,26
N00000021,198,59,139,114,11,103,27,4,23,87,7,80,84,48,36,33,22,11,19,17,2,32,9,23
N00000022,191,48,143,110,12,98,35,3,32,75,9,66,81,36,45,27,18,9,11,10,1,43,8,35
N00000023,160,49,111,88,11,77,32,3,29,56,8,48,72,38,34,38,23,15,12,9,3,22,6,16
N00000024,379,52,327,281,23,258,86,7,79,195,16,179,98,29,69,41,16,25,10,9,1,47,4,43
N00000025,347,62,285,241,20,221,67,8,59,174,12,162,106,42,64,44,20,24,15,15,0,47,7,40
N00000026,356,52,304,260,20,240,74,8,66,186,12,174,96,32,64,33,11,22,14,13,1,49,8,41
N00000027,380,52,328,257,17,240,72,5,67,185,12,173,123,35,88,29,10,19,17,15,2,77,10,67
N00000028,184,27,157,123,7,116,36,4,32,87,3,84,61,20,41,20,11,9,4,3,1,37,6,31
N00000029,304,33,271,218,17,201,70,7,63,148,10,138,86,16,70,37,8,29,4,4,0,45,4,41
N00000030,277,36,241,190,13,177,52,6,46,138,7,131,87,23,64,40,8,32,11,10,1,36,5,31
N00000031,489,75,414,338,27,311,82,5,77,256,22,234,151,48,103,60,31,29,14,11,3,77,6,71
N00000032,270,54,216,174,19,155,44,5,39,130,14,116,96,35,61,40,15,25,15,14,1,41,6,35
N00000033,361,54,307,246,19,227,54,2,52,192,17,175,115,35,80,46,16,30,11,8,3,58,11,47
N00000034,322,49,273,224,16,208,62,6,56,162,10,152,98,33,65,49,11,38,17,16,1,32,6,26
N00000035,222,59,163,120,13,107,33,5,28,87,8,79,102,46,56,23,10,13,27,24,3,52,12,40
N00000036,260,37,223,174,6,168,35,3,32,139,3,136,86,31,55,24,9,15,14,14,0,48,8,40
N00000037,212,58,154,120,11,109,39,4,35,81,7,74,92,47,45,40,25,15,20,19,1,32,3,29
N00000038,284,62,222,182,19,163,55,7,48,127,12,115,102,43,59,38,25,13,13,11,2,51,7,44
N00000039,826,125,701,590,46,544,204,21,183,386,25,361,236,79,157,61,31,30,35,33,2,140,15,125
N00000040,201,45,156,118,9,109,46,5,41,72,4,68,83,36,47,28,13,15,22,17,5,33,6,27
N00000041,314,49,265,225,14,211,59,7,52,166,7,159,89,35,54,21,15,6,16,15,1,52,5,47
N00000042,307,55,252,198,16,182,62,7,55,136,9,127,109,39,70,27,15,12,20,18,2,62,6,56
N00000043,787,129,658,547,34,513,175,10,165,372,24,348,240,95,145,39,23,16,64,58,6,137,14,123
N00000044,202,43,159,113,9,104,33,3,30,80,6,74,89,34,55,22,11,11,16,15,1,51,8,43
N00000045,367,58,309,269,18,251,67,5,62,202,13,189,98,40,58,37,20,17,19,17,2,42,3,39
N00000046,282,38,244,191,9,182,55,4,51,136,5,131,91,29,62,32,13,19,16,14,2,43,2,41
N00000047,285,63,222,184,17,167,41,6,35,143,11,132,101,46,55,47,14,33,27,26,1,27,6,21
N00000048,224,54,170,135,15,120,44,8,36,91,7,84,89,39,50,31,15,16,16,15,1,42,9,33
N00000049,202,48,154,120,5,115,36,4,32,84,1,83,82,43,39,21,13,8,23,21,2,38,9,29
N00000050,232,43,189,147,9,138,29,2,27,118,7,111,85,34,51,47,16,31,16,16,0,22,2,20
N00000051,219,76,143,110,16,94,44,7,37,66,9,57,109,60,49,25,20,5,35,33,2,49,7,42
N00000052,231,60,171,124,12,112,42,4,38,82,8,74,107,48,59,39,21,18,26,25,1,42,2,40
N00000053,196,52,144,112,12,100,37,6,31,75,6,69,84,40,44,24,18,6,18,17,1,42,5,37
N00000054,193,45,148,116,9,107,39,4,35,77,5,72,77,36,41,23,14,9,16,14,2,38,8,30
N00000055,204,57,147,113,14,99,37,4,33,76,10,66,91,43,48,31,23,8,17,17,0,43,3,40
N00000056,219,67,152,125,11,114,29,6,23,96,5,91,94,56,38,40,28,12,24,23,1,30,5,25
N00000057,192,54,138,106,15,91,40,6,34,66,9,57,86,39,47,16,11,5,21,21,0,49,7,42
N00000058,191,34,157,120,8,112,27,1,26,93,7,86,71,26,45,16,10,6,16,13,3,39,3,36
N00000059,170,39,131,99,6,93,32,1,31,67,5,62,71,33,38,22,15,7,13,12,1,36,6,30
N00000060,284,71,213,161,14,147,63,3,60,98,11,87,123,57,66,40,28,12,27,23,4,56,6,50
N00000061,210,49,161,124,17,107,40,6,34,84,11,73,86,32,54,59,20,39,10,10,0,17,2,15
N00000062,272,34,238,159,4,155,46,2,44,113,2,111,113,30,83,65,17,48,13,9,4,35,4,31
N00000063,276,69,207,146,14,132,48,5,43,98,9,89,130,55,75,33,24,9,26,21,5,71,10,61
N00000064,206,64,142,88,10,78,25,6,19,63,4,59,118,54,64,27,18,9,40,34,6,51,2,49
N00000065,310,63,247,192,13,179,57,4,53,135,9,126,118,50,68,73,35,38,13,12,1,32,3,29
N00000066,211,45,166,146,18,128,42,7,35,104,11,93,65,27,38,51,21,30,3,2,1,11,4,7
N00000067,234,81,153,111,16,95,28,5,23,83,11,72,123,65,58,35,24,11,34,32,2,54,9,45
N00000068,272,39,233,183,9,174,62,3,59,121,6,115,89,30,59,47,20,27,8,7,1,34,3,31
N00000069,228,80,148,87,12,75,36,5,31,51,7,44,141,68,73,27,19,8,29,26,3,85,23,62
N00000070,184,33,151,102,10,92,22,3,19,80,7,73,82,23,59,57,18,39,3,3,0,22,2,20
N00000071,206,47,159,123,5,118,37,1,36,86,4,82,83,42,41,47,27,20,17,14,3,19,1,18
N00000072,1244,183,1061,943,66,877,222,22,200,721,44,677,301,117,184,83,49,34,55,47,8,163,21,142
N00000073,361,88,273,237,21,216,52,10,42,185,11,174,124,67,57,67,37,30,27,25,2,30,5,25
N00000074,756,77,679,593,21,572,131,6,125,462,15,447,163,56,107,52,31,21,23,17,6,88,8,80
N00000075,329,70,259,216,18,198,37,6,31,179,12,167,113,52,61,40,21,19,34,28,6,39,3,36
N00000076,233,33,200,182,12,170,54,3,51,128,9,119,51,21,30,19,11,8,9,9,0,23,1,22
N00000077,200,36,164,141,6,135,40,1,39,101,5,96,59,30,29,28,13,15,13,13,0,18,4,14
N00000078,321,32,289,263,13,250,68,1,67,195,12,183,58,19,39,23,11,12,5,5,0,30,3,27
N00000079,399,30,369,300,11,289,89,2,87,211,9,202,99,19,80,39,11,28,5,3,2,55,5,50
N00000080,309,41,268,225,19,206,66,8,58,159,11,148,84,22,62,40,15,25,7,6,1,37,1,36
N00000081,254,48,206,166,10,156,46,5,41,120,5,115,88,38,50,40,22,18,11,11,0,37,5,32
N00000082,257,46,211,181,15,166,46,6,40,135,9,126,76,31,45,37,15,22,12,11,1,27,5,22
N00000083,484,69,415,358,26,332,95,8,87,263,18,245,126,43,83,43,22,21,15,14,1,68,7,61
N00000084,334,44,290,229,14,215,60,4,56,169,10,159,105,30,75,53,20,33,6,6,0,46,4,42
N00000085,300,93,207,159,17,142,30,6,24,129,11,118,141,76,65,51,31,20,39,33,6,51,12,39
N00000086,279,37,242,189,8,181,45,1,44,144,7,137,90,29,61,27,8,19,20,17,3,43,4,39
N00000087,651,72,579,475,26,449,112,9,103,363,17,346,176,46,130,73,24,49,16,14,2,87,8,79
N00000088,154,59,95,74,7,67,23,2,21,51,5,46,80,52,28,45,31,14,16,16,0,19,5,14
N00000089,334,52,282,236,17,219,58,6,52,178,11,167,98,35,63,26,11,15,15,15,0,57,9,48
N00000090,283,46,237,197,14,183,46,4,42,151,10,141,86,32,54,31,16,15,16,14,2,39,2,37
N00000091,338,51,287,243,14,229,70,5,65,173,9,164,95,37,58,38,13,25,18,17,1,39,7,32
N00000092,337,57,280,231,24,207,59,3,56,172,21,151,106,33,73,42,12,30,19,15,4,45,6,39
N00000093,289,48,241,186,16,170,53,7,46,133,9,124,103,32,71,48,19,29,9,7,2,46,6,40
N00000094,353,45,308,254,14,240,69,3,66,185,11,174,99,31,68,52,17,35,13,12,1,34,2,32
N00000095,329,34,295,235,13,222,71,6,65,164,7,157,94,21,73,30,9,21,9,8,1,55,4,51
N00000096,370,74,296,245,17,228,69,8,61,176,9,167,125,57,68,43,16,27,35,31,4,47,10,37
N00000097,606,82,524,467,29,438,126,9,117,341,20,321,139,53,86,38,21,17,21,20,1,80,12,68
N00000098,890,94,796,698,30,668,148,10,138,550,20,530,192,64,128,60,22,38,36,32,4,96,10,86
N00000099,180,50,130,99,10,89,37,5,32,62,5,57,81,40,41,29,18,11,24,22,2,28,0,28
N00000100,254,59,195,164,13,151,38,4,34,126,9,117,90,46,44,27,19,8,19,16,3,44,11,33
N00000101,193,41,152,112,5,107,34,2,32,78,3,75,81,36,45,11,8,3,22,18,4,48,10,38
N00000102,244,48,196,159,14,145,47,2,45,112,12,100,85,34,51,30,13,17,16,16,0,39,5,34
N00000103,430,108,322,253,11,242,68,5,63,185,6,179,177,97,80,42,27,15,65,57,8,70,13,57
N00000104,231,44,187,163,10,153,45,2,43,118,8,110,68,34,34,9,7,2,17,16,1,42,11,31
N00000105,258,63,195,163,16,147,51,9,42,112,7,105,95,47,48,43,25,18,14,14,0,38,8,30
N00000106,139,58,81,67,10,57,19,4,15,48,6,42,72,48,24,18,16,2,23,22,1,31,10,21
N00000107,190,60,130,93,12,81,25,3,22,68,9,59,97,48,49,31,23,8,20,18,2,46,7,39
N00000108,169,43,126,108,13,95,29,4,25,79,9,70,61,30,31,36,19,17,9,9,0,16,2,14
