GeographyCode,LC2503NI0001,LC2503NI0002,LC2503NI0003,LC2503NI0004,LC2503NI0005,LC2503NI0006,LC2503NI0007,LC2503NI0008,LC2503NI0009,LC2503NI0010,LC2503NI0011,LC2503NI0012,LC2503NI0013,LC2503NI0014,LC2503NI0015,LC2503NI0016,LC2503NI0017,LC2503NI0018,LC2503NI0019,LC2503NI0020,LC2503NI0021,LC2503NI0022,LC2503NI0023,LC2503NI0024,LC2503NI0025,LC2503NI0026,LC2503NI0027,LC2503NI0028
N00000001,757,125,373,259,45,9,19,17,114,16,55,43,190,32,97,61,176,29,82,65,189,30,100,59,43,9,20,14
N00000002,269,171,88,10,66,29,36,1,24,18,6,0,38,26,11,1,25,18,6,1,90,64,22,4,26,16,7,3
N00000003,179,79,95,5,37,18,18,1,21,9,11,1,27,8,17,2,19,10,8,1,63,29,34,0,12,5,7,0
N00000004,466,231,226,9,106,47,58,1,60,31,27,2,80,38,39,3,77,47,29,1,116,58,57,1,27,10,16,1
N00000005,281,132,134,15,60,34,25,1,24,10,10,4,42,15,23,4,44,16,23,5,90,46,43,1,21,11,10,0
N00000006,198,114,74,10,31,14,16,1,19,9,9,1,46,28,17,1,23,16,6,1,54,33,18,3,25,14,8,3
N00000007,194,52,135,7,37,8,25,4,17,8,9,0,36,9,27,0,29,5,24,0,54,18,34,2,21,4,16,1
N00000008,244,71,144,29,52,10,38,4,28,9,16,3,31,8,20,3,24,6,13,5,83,30,43,10,26,8,14,4
N00000009,564,115,408,41,89,21,63,5,60,12,42,6,91,18,66,7,76,12,56,8,194,40,142,12,54,12,39,3
N00000010,192,22,161,9,59,4,54,1,25,2,22,1,28,2,24,2,18,2,16,0,44,10,32,2,18,2,13,3
N00000011,251,82,160,9,94,26,68,0,37,14,20,3,36,16,18,2,21,8,13,0,39,11,24,4,24,7,17,0
N00000012,222,69,141,12,77,23,52,2,25,5,17,3,32,8,24,0,27,9,17,1,33,14,17,2,28,10,14,4
N00000013,227,73,147,7,73,25,47,1,30,9,18,3,37,16,19,2,25,6,18,1,42,11,31,0,20,6,14,0
N00000014,382,146,209,27,111,42,63,6,59,16,38,5,76,32,38,6,35,15,19,1,68,26,36,6,33,15,15,3
N00000015,195,68,121,6,92,28,64,0,30,12,18,0,22,5,15,2,16,8,8,0,22,10,8,4,13,5,8,0
N00000016,191,46,132,13,59,16,40,3,26,4,22,0,39,11,27,1,16,1,13,2,26,6,19,1,25,8,11,6
N00000017,252,25,204,23,88,5,79,4,38,2,34,2,39,5,27,7,32,6,23,3,40,5,29,6,15,2,12,1
N00000018,181,25,142,14,48,5,40,3,34,5,26,3,30,2,25,3,23,5,16,2,26,4,21,1,20,4,14,2
