GeographyCode,LC2402NI0001,LC2402NI0002,LC2402NI0003,LC2402NI0004,LC2402NI0005,LC2402NI0006,LC2402NI0007,LC2402NI0008,LC2402NI0009,LC2402NI0010,LC2402NI0011,LC2402NI0012,LC2402NI0013,LC2402NI0014,LC2402NI0015,LC2402NI0016
N00000001,982,142,457,383,93,29,42,22,26,3,7,16,863,110,408,345
N00000002,351,235,102,14,292,201,80,11,11,9,2,0,48,25,20,3
N00000003,233,111,117,5,218,104,109,5,0,0,0,0,15,7,8,0
N00000004,616,320,267,29,548,286,241,21,11,7,4,0,57,27,22,8
N00000005,374,185,161,28,349,176,149,24,0,0,0,0,25,9,12,4
N00000006,240,147,81,12,216,135,74,7,0,0,0,0,24,12,7,5
N00000007,245,62,166,17,184,46,131,7,3,0,3,0,58,16,32,10
N00000008,288,88,162,38,218,67,130,21,3,0,3,0,67,21,29,17
N00000009,727,141,513,73,622,106,452,64,2,0,2,0,103,35,59,9
N00000010,234,27,188,19,208,26,165,17,0,0,0,0,26,1,23,2
N00000011,293,92,185,16,223,70,142,11,30,9,19,2,40,13,24,3
N00000012,264,84,164,16,209,62,138,9,26,16,8,2,29,6,18,5
N00000013,268,89,165,14,178,54,118,6,14,4,9,1,76,31,38,7
N00000014,460,180,240,40,303,123,158,22,47,12,34,1,110,45,48,17
N00000015,226,74,143,9,125,41,79,5,67,18,48,1,34,15,16,3
N00000016,223,51,151,21,118,27,84,7,47,8,35,4,58,16,32,10
N00000017,340,43,254,43,222,29,169,24,86,8,68,10,32,6,17,9
N00000018,229,27,178,24,182,15,147,20,3,0,3,0,44,12,28,4
N00000019,261,13,217,31,172,5,155,12,50,4,37,9,39,4,25,10
N00000020,236,23,191,22,82,10,68,4,125,9,100,16,29,4,23,2
N00000021,269,42,194,33,181,30,129,22,33,3,25,5,55,9,40,6
N00000022,269,36,207,26,170,15,145,10,49,5,40,4,50,16,22,12
N00000023,218,11,181,26,123,6,104,13,73,2,63,8,22,3,14,5
N00000024,533,64,430,39,498,58,404,36,1,0,0,1,34,6,26,2
N00000025,460,69,360,31,441,69,341,31,4,0,4,0,15,0,15,0
N00000026,460,99,334,27,430,89,314,27,5,3,2,0,25,7,18,0
N00000027,535,308,198,29,475,279,176,20,0,0,0,0,60,29,22,9
N00000028,236,171,52,13,221,160,48,13,0,0,0,0,15,11,4,0
N00000029,403,41,318,44,379,41,298,40,3,0,0,3,21,0,20,1
N00000030,375,76,281,18,347,73,256,18,0,0,0,0,28,3,25,0
