GeographyCode,LC2205NI0001,LC2205NI0002,LC2205NI0003,LC2205NI0004,LC2205NI0005,LC2205NI0006,LC2205NI0007,LC2205NI0008,LC2205NI0009,LC2205NI0010,LC2205NI0011,LC2205NI0012
N00000001,1003,136,417,450,47,3,21,23,956,133,396,427
N00000002,332,206,80,46,16,3,10,3,316,203,70,43
N00000003,236,109,106,21,27,0,20,7,209,109,86,14
N00000004,595,284,234,77,38,4,25,9,557,280,209,68
N00000005,359,166,129,64,21,1,15,5,338,165,114,59
N00000006,242,141,76,25,17,5,9,3,225,136,67,22
N00000007,238,55,133,50,37,3,29,5,201,52,104,45
N00000008,277,70,126,81,35,8,23,4,242,62,103,77
N00000009,688,116,423,149,59,1,48,10,629,115,375,139
N00000010,232,23,166,43,24,0,21,3,208,23,145,40
N00000011,284,77,154,53,16,1,14,1,268,76,140,52
N00000012,259,74,143,42,36,9,22,5,223,65,121,37
N00000013,257,76,127,54,30,8,14,8,227,68,113,46
N00000014,444,153,197,94,48,6,32,10,396,147,165,84
N00000015,222,69,118,35,17,0,13,4,205,69,105,31
N00000016,217,44,131,42,36,7,27,2,181,37,104,40
N00000017,319,31,218,70,38,1,34,3,281,30,184,67
N00000018,215,22,144,49,31,1,30,0,184,21,114,49
N00000019,250,4,184,62,28,0,25,3,222,4,159,59
N00000020,221,8,156,57,26,0,18,8,195,8,138,49
N00000021,261,32,158,71,32,2,25,5,229,30,133,66
N00000022,260,28,176,56,29,1,19,9,231,27,157,47
N00000023,210,4,145,61,22,0,17,5,188,4,128,56
N00000024,520,55,377,88,51,0,46,5,469,55,331,83
N00000025,454,57,321,76,53,1,46,6,401,56,275,70
N00000026,448,80,292,76,40,0,29,11,408,80,263,65
N00000027,508,264,168,76,41,11,26,4,467,253,142,72
N00000028,233,161,49,23,7,4,2,1,226,157,47,22
N00000029,395,37,295,63,52,4,45,3,343,33,250,60
N00000030,364,66,232,66,51,4,31,16,313,62,201,50
N00000031,680,590,45,45,48,24,21,3,632,566,24,42
N00000032,371,204,121,46,37,8,27,2,334,196,94,44
N00000033,478,263,167,48,59,12,38,9,419,251,129,39
N00000034,452,150,218,84,58,8,37,13,394,142,181,71
N00000035,278,121,103,54,11,1,8,2,267,120,95,52
N00000036,327,178,80,69,17,8,8,1,310,170,72,68
N00000037,279,207,40,32,22,12,9,1,257,195,31,31
N00000038,394,288,59,47,14,4,8,2,380,284,51,45
N00000039,1187,921,135,131,41,20,16,5,1146,901,119,126
N00000040,254,172,47,35,5,4,0,1,249,168,47,34
N00000041,439,388,22,29,14,9,4,1,425,379,18,28
N00000042,399,304,65,30,3,0,2,1,396,304,63,29
N00000043,1171,853,151,167,44,16,19,9,1127,837,132,158
N00000044,298,199,53,46,13,7,5,1,285,192,48,45
N00000045,496,53,401,42,83,5,74,4,413,48,327,38
N00000046,382,27,299,56,74,0,67,7,308,27,232,49
N00000047,362,46,244,72,80,1,68,11,282,45,176,61
N00000048,293,42,209,42,38,0,34,4,255,42,175,38
N00000049,245,50,153,42,30,0,30,0,215,50,123,42
N00000050,292,50,207,35,68,0,60,8,224,50,147,27
N00000051,297,219,30,48,22,9,10,3,275,210,20,45
N00000052,296,166,53,77,24,9,9,6,272,157,44,71
N00000053,248,127,60,61,7,3,3,1,241,124,57,60
N00000054,249,37,131,81,14,0,8,6,235,37,123,75
N00000055,256,44,166,46,28,2,20,6,228,42,146,40
N00000056,270,55,161,54,37,10,21,6,233,45,140,48
N00000057,256,39,127,90,25,2,15,8,231,37,112,82
N00000058,244,41,157,46,15,3,8,4,229,38,149,42
N00000059,212,34,106,72,24,1,13,10,188,33,93,62
N00000060,374,78,210,86,20,3,16,1,354,75,194,85
N00000061,267,45,159,63,38,8,27,3,229,37,132,60
N00000062,340,69,199,72,55,3,43,9,285,66,156,63
N00000063,412,59,239,114,48,3,38,7,364,56,201,107
N00000064,271,141,68,62,17,4,7,6,254,137,61,56
N00000065,379,107,215,57,44,1,38,5,335,106,177,52
N00000066,256,93,114,49,38,0,33,5,218,93,81,44
N00000067,298,126,94,78,19,5,13,1,279,121,81,77
N00000068,361,74,197,90,26,4,15,7,335,70,182,83
N00000069,319,140,104,75,16,2,4,10,303,138,100,65
N00000070,242,95,123,24,20,2,13,5,222,93,110,19
N00000071,274,110,103,61,21,5,13,3,253,105,90,58
N00000072,1663,449,822,392,109,18,66,25,1554,431,756,367
N00000073,506,141,218,147,47,5,30,12,459,136,188,135
N00000074,968,357,387,224,75,7,47,21,893,350,340,203
N00000075,401,152,162,87,36,2,24,10,365,150,138,77
N00000076,328,133,133,62,30,13,15,2,298,120,118,60
N00000077,270,140,99,31,20,11,9,0,250,129,90,31
N00000078,457,189,174,94,26,5,14,7,431,184,160,87
N00000079,541,37,403,101,74,2,63,9,467,35,340,92
N00000080,404,23,313,68,60,0,50,10,344,23,263,58
N00000081,328,9,263,56,46,0,42,4,282,9,221,52
N00000082,336,22,273,41,98,1,89,8,238,21,184,33
N00000083,637,28,487,122,147,3,123,21,490,25,364,101
N00000084,444,7,368,69,90,1,78,11,354,6,290,58
N00000085,417,225,126,66,36,10,21,5,381,215,105,61
N00000086,369,279,23,67,10,9,0,1,359,270,23,66
N00000087,874,553,213,108,68,30,32,6,806,523,181,102
N00000088,213,31,150,32,35,0,28,7,178,31,122,25
N00000089,447,355,45,47,24,11,9,4,423,344,36,43
N00000090,377,295,36,46,18,11,2,5,359,284,34,41
N00000091,450,293,94,63,30,8,17,5,420,285,77,58
N00000092,481,53,344,84,129,4,109,16,352,49,235,68
N00000093,407,191,174,42,66,10,45,11,341,181,129,31
N00000094,479,190,243,46,103,25,72,6,376,165,171,40
N00000095,454,293,112,49,40,10,25,5,414,283,87,44
N00000096,454,64,313,77,97,5,84,8,357,59,229,69
N00000097,799,260,357,182,43,3,33,7,756,257,324,175
N00000098,1106,379,480,247,92,12,72,8,1014,367,408,239
N00000099,246,113,84,49,7,1,4,2,239,112,80,47
N00000100,323,188,70,65,20,8,8,4,303,180,62,61
N00000101,253,108,70,75,6,3,1,2,247,105,69,73
N00000102,302,99,127,76,25,3,15,7,277,96,112,69
N00000103,583,181,200,202,38,11,21,6,545,170,179,196
N00000104,294,153,80,61,11,2,7,2,283,151,73,59
N00000105,318,54,195,69,29,1,27,1,289,53,168,68
N00000106,190,12,134,44,15,0,13,2,175,12,121,42
N00000107,252,39,166,47,21,0,15,6,231,39,151,41
N00000108,239,42,171,26,54,8,41,5,185,34,130,21
N00000109,473,89,290,94,41,0,39,2,432,89,251,92
N00000110,250,38,137,75,29,4,23,2,221,34,114,73
N00000111,341,116,136,89,33,3,23,7,308,113,113,82
N00000112,389,94,162,133,25,0,19,6,364,94,143,127
N00000113,295,106,124,65,27,2,22,3,268,104,102,62
N00000114,306,121,113,72,17,2,13,2,289,119,100,70
N00000115,283,114,94,75,17,2,10,5,266,112,84,70
N00000116,276,73,115,88,24,2,17,5,252,71,98,83
N00000117,154,36,73,45,9,1,7,1,145,35,66,44
N00000118,330,31,206,93,57,2,43,12,273,29,163,81
N00000119,279,15,202,62,57,0,45,12,222,15,157,50
N00000120,315,37,210,68,50,0,48,2,265,37,162,66
N00000121,280,23,186,71,31,1,26,4,249,22,160,67
N00000122,463,72,282,109,43,2,30,11,420,70,252,98
N00000123,344,44,248,52,55,0,51,4,289,44,197,48
N00000124,358,48,246,64,41,1,35,5,317,47,211,59
N00000125,442,341,60,41,35,20,15,0,407,321,45,41
N00000126,461,438,12,11,21,18,2,1,440,420,10,10
N00000127,379,306,51,22,26,10,13,3,353,296,38,19
N00000128,944,845,35,64,38,27,3,8,906,818,32,56
N00000129,329,294,3,32,13,10,2,1,316,284,1,31
N00000130,475,14,358,103,34,0,30,4,441,14,328,99
N00000131,382,12,304,66,56,0,46,10,326,12,258,56
N00000132,352,113,183,56,44,5,35,4,308,108,148,52
N00000133,312,81,171,60,40,12,21,7,272,69,150,53
N00000134,415,25,277,113,39,0,30,9,376,25,247,104
N00000135,305,42,186,77,25,0,23,2,280,42,163,75
N00000136,488,25,365,98,38,0,32,6,450,25,333,92
N00000137,303,16,240,47,25,1,22,2,278,15,218,45
N00000138,453,11,363,79,36,0,34,2,417,11,329,77
N00000139,297,26,196,75,40,5,26,9,257,21,170,66
N00000140,326,32,207,87,47,0,39,8,279,32,168,79
N00000141,429,31,314,84,54,0,51,3,375,31,263,81
N00000142,196,16,122,58,15,2,9,4,181,14,113,54
N00000143,209,17,133,59,23,2,11,10,186,15,122,49
N00000144,219,10,150,59,38,1,26,11,181,9,124,48
N00000145,123,10,79,34,16,0,12,4,107,10,67,30
N00000146,267,26,185,56,40,0,34,6,227,26,151,50
N00000147,214,15,127,72,35,1,11,23,179,14,116,49
N00000148,639,10,514,115,106,0,99,7,533,10,415,108
N00000149,408,9,324,75,85,2,66,17,323,7,258,58
N00000150,352,4,269,79,63,1,54,8,289,3,215,71
N00000151,277,13,211,53,68,0,60,8,209,13,151,45
N00000152,266,5,219,42,73,0,67,6,193,5,152,36
N00000153,238,8,187,43,71,0,66,5,167,8,121,38
N00000154,251,10,181,60,69,0,56,13,182,10,125,47
N00000155,329,26,216,87,81,6,64,11,248,20,152,76
N00000156,295,16,216,63,62,6,49,7,233,10,167,56
N00000157,356,43,226,87,92,7,72,13,264,36,154,74
N00000158,647,27,437,183,102,0,91,11,545,27,346,172
N00000159,218,15,146,57,23,0,17,6,195,15,129,51
N00000160,305,23,207,75,36,2,27,7,269,21,180,68
N00000161,336,10,247,79,34,0,32,2,302,10,215,77
N00000162,235,14,163,58,39,2,35,2,196,12,128,56
N00000163,302,24,176,102,42,2,28,12,260,22,148,90
N00000164,283,6,221,56,48,0,34,14,235,6,187,42
N00000165,310,21,227,62,42,2,32,8,268,19,195,54
N00000166,264,16,189,59,37,0,30,7,227,16,159,52
N00000167,369,13,288,68,50,1,42,7,319,12,246,61
N00000168,337,19,262,56,45,0,40,5,292,19,222,51
N00000169,689,25,528,136,131,0,112,19,558,25,416,117
N00000170,357,1,267,89,67,0,53,14,290,1,214,75
N00000171,408,16,304,88,104,0,84,20,304,16,220,68
N00000172,749,19,532,198,144,1,114,29,605,18,418,169
N00000173,366,2,284,80,121,0,94,27,245,2,190,53
N00000174,379,4,298,77,60,1,49,10,319,3,249,67
N00000175,353,8,285,60,55,1,48,6,298,7,237,54
N00000176,456,30,298,128,46,1,36,9,410,29,262,119
N00000177,309,37,178,94,45,3,31,11,264,34,147,83
N00000178,648,85,405,158,77,12,53,12,571,73,352,146
N00000179,821,65,495,261,81,5,58,18,740,60,437,243
N00000180,271,15,208,48,44,0,31,13,227,15,177,35
N00000181,273,16,176,81,27,3,16,8,246,13,160,73
N00000182,212,5,164,43,27,0,21,6,185,5,143,37
N00000183,279,13,169,97,28,0,21,7,251,13,148,90
N00000184,361,18,240,103,38,0,25,13,323,18,215,90
N00000185,209,3,171,35,27,0,23,4,182,3,148,31
N00000186,288,10,198,80,30,0,25,5,258,10,173,75
N00000187,243,13,166,64,17,0,13,4,226,13,153,60
N00000188,332,8,237,87,28,0,18,10,304,8,219,77
N00000189,333,3,276,54,29,0,26,3,304,3,250,51
N00000190,301,0,238,63,33,0,23,10,268,0,215,53
N00000191,292,9,240,43,37,0,32,5,255,9,208,38
N00000192,286,19,197,70,16,0,11,5,270,19,186,65
N00000193,275,14,184,77,17,0,11,6,258,14,173,71
N00000194,243,10,181,52,13,0,10,3,230,10,171,49
N00000195,240,5,190,45,15,1,9,5,225,4,181,40
N00000196,231,14,170,47,34,6,24,4,197,8,146,43
N00000197,312,16,234,62,22,0,17,5,290,16,217,57
N00000198,274,6,216,52,25,0,25,0,249,6,191,52
N00000199,341,16,246,79,33,0,23,10,308,16,223,69
N00000200,306,8,245,53,31,0,29,2,275,8,216,51
N00000201,282,0,222,60,44,0,40,4,238,0,182,56
N00000202,297,10,235,52,42,0,36,6,255,10,199,46
N00000203,329,22,229,78,42,3,30,9,287,19,199,69
N00000204,374,10,266,98,36,2,28,6,338,8,238,92
N00000205,292,25,206,61,27,0,26,1,265,25,180,60
N00000206,378,18,255,105,39,0,31,8,339,18,224,97
N00000207,248,8,165,75,29,0,18,11,219,8,147,64
N00000208,306,4,252,50,26,1,22,3,280,3,230,47
N00000209,344,7,261,76,43,0,36,7,301,7,225,69
N00000210,373,29,247,97,53,1,40,12,320,28,207,85
N00000211,514,33,355,126,67,5,47,15,447,28,308,111
N00000212,172,10,109,53,27,1,18,8,145,9,91,45
N00000213,276,18,179,79,41,0,36,5,235,18,143,74
N00000214,316,17,206,93,51,3,32,16,265,14,174,77
N00000215,387,18,263,106,48,0,44,4,339,18,219,102
N00000216,384,18,260,106,74,1,58,15,310,17,202,91
N00000217,468,25,338,105,51,1,38,12,417,24,300,93
N00000218,352,14,275,63,41,3,34,4,311,11,241,59
N00000219,236,12,170,54,21,0,17,4,215,12,153,50
N00000220,265,1,204,60,23,0,17,6,242,1,187,54
N00000221,253,3,186,64,36,0,28,8,217,3,158,56
N00000222,289,7,236,46,54,1,48,5,235,6,188,41
N00000223,313,15,237,61,42,3,28,11,271,12,209,50
N00000224,234,10,152,72,40,0,24,16,194,10,128,56
N00000225,147,5,107,35,21,1,13,7,126,4,94,28
N00000226,258,13,177,68,48,3,38,7,210,10,139,61
N00000227,191,10,133,48,23,0,20,3,168,10,113,45
N00000228,297,4,244,49,40,0,36,4,257,4,208,45
N00000229,385,17,280,88,36,1,30,5,349,16,250,83
N00000230,280,17,177,86,32,0,24,8,248,17,153,78
N00000231,300,17,180,103,31,1,25,5,269,16,155,98
N00000232,296,36,176,84,37,3,29,5,259,33,147,79
N00000233,248,11,147,90,45,1,30,14,203,10,117,76
N00000234,246,44,126,76,25,3,16,6,221,41,110,70
N00000235,309,26,203,80,51,0,39,12,258,26,164,68
N00000236,272,13,179,80,28,1,19,8,244,12,160,72
N00000237,402,18,268,116,50,1,37,12,352,17,231,104
N00000238,298,12,248,38,56,0,47,9,242,12,201,29
N00000239,244,1,160,83,30,1,19,10,214,0,141,73
N00000240,339,12,225,102,31,1,24,6,308,11,201,96
N00000241,412,38,270,104,39,1,32,6,373,37,238,98
N00000242,355,15,269,71,39,1,34,4,316,14,235,67
N00000243,258,21,156,81,52,6,35,11,206,15,121,70
N00000244,258,20,184,54,19,2,13,4,239,18,171,50
N00000245,301,23,214,64,38,0,29,9,263,23,185,55
N00000246,296,13,202,81,43,5,22,16,253,8,180,65
N00000247,300,19,218,63,61,4,49,8,239,15,169,55
N00000248,329,15,251,63,56,0,51,5,273,15,200,58
N00000249,366,29,243,94,37,0,32,5,329,29,211,89
N00000250,377,19,254,104,50,3,32,15,327,16,222,89
N00000251,436,23,314,99,40,2,37,1,396,21,277,98
N00000252,341,6,224,111,41,1,27,13,300,5,197,98
N00000253,486,16,390,80,49,0,42,7,437,16,348,73
N00000254,309,6,241,62,49,0,38,11,260,6,203,51
N00000255,343,33,240,70,56,1,43,12,287,32,197,58
N00000256,752,48,470,234,118,3,88,27,634,45,382,207
N00000257,431,16,316,99,42,0,33,9,389,16,283,90
N00000258,374,31,263,80,62,1,51,10,312,30,212,70
N00000259,455,249,110,96,37,13,13,11,418,236,97,85
N00000260,528,171,263,94,105,18,77,10,423,153,186,84
N00000261,540,294,147,99,49,13,27,9,491,281,120,90
N00000262,401,225,99,77,44,22,12,10,357,203,87,67
N00000263,236,139,61,36,27,10,13,4,209,129,48,32
N00000264,539,312,136,91,57,25,26,6,482,287,110,85
N00000265,342,220,74,48,44,24,13,7,298,196,61,41
N00000266,317,191,86,40,40,16,17,7,277,175,69,33
N00000267,428,8,299,121,55,2,32,21,373,6,267,100
N00000268,371,14,273,84,41,2,36,3,330,12,237,81
N00000269,339,10,270,59,54,0,51,3,285,10,219,56
N00000270,359,15,268,76,52,1,46,5,307,14,222,71
N00000271,368,13,284,71,71,0,60,11,297,13,224,60
N00000272,291,17,204,70,35,0,26,9,256,17,178,61
N00000273,450,23,309,118,53,4,40,9,397,19,269,109
N00000274,446,22,322,102,53,1,40,12,393,21,282,90
N00000275,286,27,200,59,27,0,21,6,259,27,179,53
N00000276,303,18,197,88,25,1,16,8,278,17,181,80
N00000277,300,12,193,95,16,0,13,3,284,12,180,92
N00000278,288,19,213,56,16,1,14,1,272,18,199,55
N00000279,171,11,120,40,16,0,16,0,155,11,104,40
N00000280,359,17,222,120,21,0,13,8,338,17,209,112
N00000281,343,14,264,65,71,0,63,8,272,14,201,57
N00000282,359,24,227,108,65,1,47,17,294,23,180,91
N00000283,334,22,222,90,41,0,30,11,293,22,192,79
N00000284,359,13,212,134,30,0,19,11,329,13,193,123
N00000285,304,6,185,113,40,1,31,8,264,5,154,105
N00000286,261,2,200,59,36,0,28,8,225,2,172,51
N00000287,285,6,193,86,43,1,28,14,242,5,165,72
N00000288,335,6,226,103,31,0,22,9,304,6,204,94
N00000289,475,5,348,122,61,0,41,20,414,5,307,102
N00000290,263,6,208,49,33,1,29,3,230,5,179,46
N00000291,487,11,362,114,50,1,38,11,437,10,324,103
N00000292,690,32,485,173,64,4,46,14,626,28,439,159
N00000293,496,22,347,127,43,0,33,10,453,22,314,117
N00000294,393,10,297,86,81,1,73,7,312,9,224,79
N00000295,409,31,258,120,47,0,39,8,362,31,219,112
N00000296,274,29,191,54,31,2,23,6,243,27,168,48
N00000297,361,30,264,67,40,2,34,4,321,28,230,63
N00000298,323,22,215,86,26,1,19,6,297,21,196,80
N00000299,310,28,213,69,51,2,48,1,259,26,165,68
N00000300,280,29,199,52,35,4,21,10,245,25,178,42
N00000301,345,33,228,84,18,1,15,2,327,32,213,82
N00000302,351,20,240,91,28,1,19,8,323,19,221,83
N00000303,303,13,222,68,31,1,23,7,272,12,199,61
N00000304,326,29,216,81,11,1,8,2,315,28,208,79
N00000305,386,10,301,75,35,0,30,5,351,10,271,70
N00000306,366,22,257,87,28,0,19,9,338,22,238,78
N00000307,341,19,234,88,38,0,27,11,303,19,207,77
N00000308,271,23,178,70,22,0,17,5,249,23,161,65
N00000309,366,23,255,88,25,3,18,4,341,20,237,84
N00000310,396,248,103,45,46,20,16,10,350,228,87,35
N00000311,324,241,32,51,24,9,7,8,300,232,25,43
N00000312,498,316,100,82,39,20,15,4,459,296,85,78
N00000313,602,491,60,51,29,11,13,5,573,480,47,46
N00000314,347,289,23,35,18,16,1,1,329,273,22,34
N00000315,337,265,36,36,53,35,11,7,284,230,25,29
