GeographyCode,LC3104NI0001,LC3104NI0002,LC3104NI0003,LC3104NI0004,LC3104NI0005,LC3104NI0006,LC3104NI0007,LC3104NI0008,LC3104NI0009
N00000001,982,940,42,492,476,16,490,464,26
N00000002,351,295,56,181,147,34,170,148,22
N00000003,233,194,39,117,97,20,116,97,19
N00000004,616,536,80,306,264,42,310,272,38
N00000005,374,327,47,196,175,21,178,152,26
N00000006,240,211,29,114,103,11,126,108,18
N00000007,245,219,26,127,113,14,118,106,12
N00000008,288,230,58,145,123,22,143,107,36
N00000009,727,634,93,356,312,44,371,322,49
N00000010,234,199,35,113,93,20,121,106,15
N00000011,293,201,92,145,108,37,148,93,55
N00000012,264,200,64,131,94,37,133,106,27
N00000013,268,196,72,139,103,36,129,93,36
N00000014,460,356,104,223,178,45,237,178,59
N00000015,226,146,80,110,71,39,116,75,41
N00000016,223,142,81,112,74,38,111,68,43
N00000017,340,268,72,145,110,35,195,158,37
N00000018,229,185,44,114,93,21,115,92,23
N00000019,261,192,69,131,103,28,130,89,41
N00000020,236,172,64,104,80,24,132,92,40
N00000021,269,186,83,134,94,40,135,92,43
N00000022,269,192,77,123,90,33,146,102,44
N00000023,218,151,67,105,77,28,113,74,39
N00000024,533,469,64,277,243,34,256,226,30
N00000025,460,372,88,234,197,37,226,175,51
N00000026,460,392,68,227,197,30,233,195,38
N00000027,535,472,63,284,252,32,251,220,31
N00000028,236,209,27,125,118,7,111,91,20
N00000029,403,354,49,211,188,23,192,166,26
N00000030,375,309,66,193,156,37,182,153,29
N00000031,699,608,91,365,319,46,334,289,45
N00000032,386,320,66,181,152,29,205,168,37
N00000033,495,431,64,265,233,32,230,198,32
N00000034,438,378,60,222,196,26,216,182,34
N00000035,291,208,83,136,94,42,155,114,41
N00000036,345,292,53,166,140,26,179,152,27
N00000037,285,216,69,138,109,29,147,107,40
N00000038,406,325,81,197,161,36,209,164,45
N00000039,1262,1076,186,612,527,85,650,549,101
N00000040,265,208,57,121,93,28,144,115,29
N00000041,462,391,71,207,172,35,255,219,36
N00000042,410,352,58,198,170,28,212,182,30
N00000043,1202,1040,162,590,505,85,612,535,77
N00000044,312,252,60,148,125,23,164,127,37
N00000045,515,449,66,272,239,33,243,210,33
N00000046,394,333,61,200,177,23,194,156,38
N00000047,353,287,66,176,146,30,177,141,36
N00000048,304,234,70,138,108,30,166,126,40
N00000049,254,194,60,124,97,27,130,97,33
N00000050,299,241,58,154,132,22,145,109,36
N00000051,313,235,78,151,117,34,162,118,44
N00000052,309,239,70,160,122,38,149,117,32
N00000053,252,197,55,129,99,30,123,98,25
N00000054,266,215,51,115,92,23,151,123,28
N00000055,266,192,74,131,104,27,135,88,47
N00000056,270,194,76,137,100,37,133,94,39
N00000057,279,212,67,130,96,34,149,116,33
N00000058,266,200,66,122,99,23,144,101,43
N00000059,226,168,58,118,87,31,108,81,27
N00000060,394,281,113,180,133,47,214,148,66
N00000061,273,217,56,133,105,28,140,112,28
N00000062,351,296,55,166,142,24,185,154,31
N00000063,354,259,95,164,133,31,190,126,64
N00000064,279,196,83,143,97,46,136,99,37
N00000065,389,319,70,189,155,34,200,164,36
N00000066,264,213,51,128,107,21,136,106,30
N00000067,316,222,94,148,107,41,168,115,53
