GeographyCode,LC6303NI0001,LC6303NI0002,LC6303NI0003,LC6303NI0004,LC6303NI0005,LC6303NI0006,LC6303NI0007,LC6303NI0008,LC6303NI0009
N00000001,757,110,647,719,104,615,38,6,32
N00000002,269,38,231,217,36,181,52,2,50
N00000003,179,29,150,140,27,113,39,2,37
N00000004,466,94,372,389,86,303,77,8,69
N00000005,281,47,234,236,44,192,45,3,42
N00000006,198,36,162,167,35,132,31,1,30
N00000007,194,34,160,169,32,137,25,2,23
N00000008,244,46,198,188,39,149,56,7,49
N00000009,564,108,456,475,93,382,89,15,74
N00000010,192,31,161,156,29,127,36,2,34
N00000011,251,24,227,159,16,143,92,8,84
N00000012,222,24,198,158,21,137,64,3,61
N00000013,227,41,186,155,35,120,72,6,66
N00000014,382,36,346,281,28,253,101,8,93
N00000015,195,20,175,115,12,103,80,8,72
N00000016,191,19,172,113,16,97,78,3,75
N00000017,252,22,230,184,19,165,68,3,65
N00000018,181,21,160,138,18,120,43,3,40
N00000019,212,13,199,143,11,132,69,2,67
N00000020,170,18,152,111,14,97,59,4,55
N00000021,215,18,197,135,13,122,80,5,75
N00000022,222,24,198,149,17,132,73,7,66
N00000023,184,17,167,121,15,106,63,2,61
N00000024,402,85,317,343,82,261,59,3,56
N00000025,371,62,309,284,50,234,87,12,75
N00000026,383,66,317,316,57,259,67,9,58
N00000027,401,65,336,339,61,278,62,4,58
N00000028,188,31,157,161,27,134,27,4,23
N00000029,323,76,247,274,68,206,49,8,41
N00000030,305,68,237,241,65,176,64,3,61
N00000031,516,87,429,425,81,344,91,6,85
N00000032,293,45,248,228,39,189,65,6,59
N00000033,383,50,333,317,46,271,66,4,62
N00000034,373,75,298,282,68,214,91,7,84
N00000035,239,37,202,158,26,132,81,11,70
N00000036,279,30,249,227,29,198,52,1,51
N00000037,236,28,208,168,24,144,68,4,64
N00000038,307,42,265,229,33,196,78,9,69
N00000039,894,129,765,725,114,611,169,15,154
N00000040,209,15,194,154,13,141,55,2,53
N00000041,321,35,286,258,26,232,63,9,54
N00000042,315,36,279,261,30,231,54,6,48
N00000043,841,120,721,664,104,560,177,16,161
N00000044,223,27,196,164,21,143,59,6,53
N00000045,383,65,318,319,62,257,64,3,61
N00000046,313,59,254,253,53,200,60,6,54
N00000047,314,62,252,246,55,191,68,7,61
N00000048,240,17,223,173,14,159,67,3,64
N00000049,210,29,181,151,21,130,59,8,51
N00000050,254,49,205,196,43,153,58,6,52
N00000051,231,26,205,156,21,135,75,5,70
N00000052,245,32,213,176,28,148,69,4,65
N00000053,208,28,180,149,20,129,59,8,51
N00000054,195,26,169,149,20,129,46,6,40
N00000055,229,21,208,157,16,141,72,5,67
N00000056,239,15,224,166,10,156,73,5,68
N00000057,197,12,185,133,10,123,64,2,62
N00000058,198,15,183,140,13,127,58,2,56
N00000059,178,15,163,123,11,112,55,4,51
N00000060,306,26,280,196,16,180,110,10,100
N00000061,238,49,189,182,43,139,56,6,50
N00000062,299,57,242,245,54,191,54,3,51
N00000063,356,24,332,203,18,185,153,6,147
N00000064,218,20,198,135,16,119,83,4,79
N00000065,327,53,274,257,45,212,70,8,62
N00000066,232,39,193,181,36,145,51,3,48
N00000067,243,21,222,151,14,137,92,7,85
N00000068,293,46,247,243,43,200,50,3,47
N00000069,238,29,209,149,22,127,89,7,82
N00000070,216,38,178,164,34,130,52,4,48
N00000071,254,39,215,162,27,135,92,12,80
N00000072,1290,198,1092,1083,175,908,207,23,184
N00000073,467,35,432,278,29,249,189,6,183
