GeographyCode,LC6103NI0001,LC6103NI0002,LC6103NI0003,LC6103NI0004,LC6103NI0005,LC6103NI0006,LC6103NI0007,LC6103NI0008,LC6103NI0009,LC6103NI0010,LC6103NI0011,LC6103NI0012,LC6103NI0013,LC6103NI0014,LC6103NI0015
N00000001,591,561,30,71,64,7,220,208,12,277,269,8,23,20,3
N00000002,170,99,71,50,28,22,44,28,16,63,37,26,13,6,7
N00000003,115,46,69,40,21,19,25,7,18,40,16,24,10,2,8
N00000004,310,159,151,60,36,24,90,37,53,125,66,59,35,20,15
N00000005,210,123,87,53,30,23,81,42,39,59,39,20,17,12,5
N00000006,134,77,57,30,18,12,48,28,20,50,29,21,6,2,4
N00000007,130,67,63,34,18,16,39,21,18,47,25,22,10,3,7
N00000008,162,95,67,49,27,22,49,29,20,54,33,21,10,6,4
N00000009,408,294,114,138,100,38,102,71,31,132,97,35,36,26,10
N00000010,113,62,51,22,14,8,36,14,22,41,23,18,14,11,3
N00000011,130,75,55,15,10,5,34,16,18,53,33,20,28,16,12
N00000012,132,85,47,8,6,2,26,16,10,66,43,23,32,20,12
N00000013,116,65,51,19,10,9,26,16,10,54,30,24,17,9,8
N00000014,265,193,72,35,32,3,63,45,18,130,94,36,37,22,15
N00000015,85,47,38,6,2,4,19,7,12,34,21,13,26,17,9
N00000016,98,57,41,15,7,8,30,16,14,38,23,15,15,11,4
N00000017,150,97,53,18,11,7,33,20,13,70,49,21,29,17,12
N00000018,109,69,40,19,11,8,21,15,6,52,31,21,17,12,5
N00000019,116,73,43,12,8,4,21,18,3,49,26,23,34,21,13
N00000020,88,59,29,4,4,0,16,12,4,43,30,13,25,13,12
N00000021,114,78,36,15,9,6,35,24,11,42,31,11,22,14,8
N00000022,110,63,47,11,6,5,19,10,9,62,40,22,18,7,11
N00000023,88,58,30,9,8,1,25,15,10,39,26,13,15,9,6
N00000024,281,156,125,77,35,42,102,55,47,86,58,28,16,8,8
N00000025,241,104,137,53,19,34,73,32,41,96,40,56,19,13,6
N00000026,260,131,129,63,25,38,91,47,44,85,52,33,21,7,14
N00000027,257,152,105,50,37,13,85,39,46,104,64,40,18,12,6
N00000028,123,61,62,18,6,12,32,14,18,62,35,27,11,6,5
N00000029,218,115,103,57,25,32,74,41,33,71,40,31,16,9,7
N00000030,190,91,99,37,21,16,74,29,45,67,36,31,12,5,7
N00000031,338,209,129,92,59,33,109,60,49,118,77,41,19,13,6
N00000032,174,104,70,44,25,19,51,27,24,69,47,22,10,5,5
N00000033,246,145,101,55,31,24,81,44,37,87,56,31,23,14,9
N00000034,224,145,79,60,32,28,63,44,19,82,56,26,19,13,6
N00000035,120,78,42,18,11,7,33,19,14,48,33,15,21,15,6
N00000036,174,98,76,48,26,22,37,22,15,73,40,33,16,10,6
N00000037,120,70,50,17,13,4,23,15,8,66,34,32,14,8,6
N00000038,182,88,94,33,16,17,52,25,27,82,38,44,15,9,6
N00000039,590,415,175,98,71,27,141,97,44,293,207,86,58,40,18
N00000040,118,83,35,9,7,2,22,20,2,68,47,21,19,9,10
N00000041,225,151,74,49,34,15,48,34,14,111,74,37,17,9,8
N00000042,198,113,85,32,20,12,48,29,19,98,55,43,20,9,11
N00000043,547,389,158,126,90,36,124,82,42,239,177,62,58,40,18
N00000044,113,72,41,13,8,5,24,14,10,63,43,20,13,7,6
N00000045,269,163,106,73,46,27,88,50,38,89,56,33,19,11,8
N00000046,191,91,100,43,22,21,68,33,35,61,24,37,19,12,7
N00000047,184,79,105,42,18,24,53,15,38,78,43,35,11,3,8
N00000048,135,93,42,9,7,2,26,21,5,72,48,24,28,17,11
N00000049,120,77,43,11,8,3,18,15,3,66,39,27,25,15,10
N00000050,147,75,72,45,22,23,35,18,17,49,25,24,18,10,8
N00000051,110,74,36,12,9,3,25,16,9,46,29,17,27,20,7
N00000052,124,73,51,24,13,11,28,15,13,55,36,19,17,9,8
N00000053,112,80,32,10,4,6,18,10,8,58,45,13,26,21,5
N00000054,116,78,38,11,7,4,23,18,5,62,39,23,20,14,6
N00000055,113,61,52,11,6,5,28,17,11,53,29,24,21,9,12
N00000056,125,76,49,7,4,3,28,19,9,66,39,27,24,14,10
N00000057,106,72,34,9,6,3,13,7,6,51,37,14,33,22,11
N00000058,120,77,43,15,13,2,22,13,9,58,38,20,25,13,12
N00000059,99,73,26,10,10,0,16,9,7,53,41,12,20,13,7
N00000060,161,116,45,15,12,3,32,20,12,74,56,18,40,28,12
N00000061,124,59,65,37,16,21,29,13,16,43,21,22,15,9,6
N00000062,159,84,75,52,21,31,37,25,12,60,36,24,10,2,8
N00000063,146,95,51,24,14,10,31,22,9,58,37,21,33,22,11
N00000064,88,55,33,8,5,3,21,15,6,39,23,16,20,12,8
N00000065,192,102,90,40,19,21,40,19,21,88,46,42,24,18,6
N00000066,146,78,68,40,21,19,25,12,13,66,37,29,15,8,7
N00000067,111,75,36,10,8,2,20,13,7,47,30,17,34,24,10
