GeographyCode,LC6110NI0001,LC6110NI0002,LC6110NI0003,LC6110NI0004,LC6110NI0005,LC6110NI0006,LC6110NI0007,LC6110NI0008,LC6110NI0009
N00000001,591,97,494,411,16,395,180,81,99
N00000002,170,45,125,92,15,77,78,30,48
N00000003,115,31,84,59,7,52,56,24,32
N00000004,310,95,215,177,29,148,133,66,67
N00000005,210,48,162,116,13,103,94,35,59
N00000006,134,41,93,71,10,61,63,31,32
N00000007,130,28,102,73,8,65,57,20,37
N00000008,162,30,132,91,11,80,71,19,52
N00000009,408,97,311,211,20,191,197,77,120
N00000010,113,31,82,62,8,54,51,23,28
N00000011,130,40,90,65,8,57,65,32,33
N00000012,132,43,89,68,3,65,64,40,24
N00000013,116,25,91,62,3,59,54,22,32
N00000014,265,71,194,132,15,117,133,56,77
N00000015,85,30,55,45,10,35,40,20,20
N00000016,98,20,78,53,3,50,45,17,28
N00000017,150,50,100,74,12,62,76,38,38
N00000018,109,24,85,59,9,50,50,15,35
N00000019,116,34,82,70,15,55,46,19,27
N00000020,88,28,60,32,4,28,56,24,32
N00000021,114,27,87,58,3,55,56,24,32
N00000022,110,35,75,53,8,45,57,27,30
N00000023,88,32,56,45,8,37,43,24,19
N00000024,281,86,195,149,21,128,132,65,67
N00000025,241,67,174,139,24,115,102,43,59
N00000026,260,74,186,129,13,116,131,61,70
N00000027,257,72,185,146,24,122,111,48,63
N00000028,123,36,87,62,8,54,61,28,33
N00000029,218,70,148,125,17,108,93,53,40
N00000030,190,52,138,98,9,89,92,43,49
N00000031,338,82,256,182,18,164,156,64,92
N00000032,174,44,130,82,7,75,92,37,55
N00000033,246,54,192,141,10,131,105,44,61
N00000034,224,62,162,115,14,101,109,48,61
N00000035,120,33,87,53,5,48,67,28,39
N00000036,174,35,139,84,6,78,90,29,61
N00000037,120,39,81,58,8,50,62,31,31
N00000038,182,55,127,98,16,82,84,39,45
N00000039,590,204,386,286,48,238,304,156,148
N00000040,118,46,72,51,11,40,67,35,32
N00000041,225,59,166,112,12,100,113,47,66
N00000042,198,62,136,102,14,88,96,48,48
N00000043,547,175,372,266,35,231,281,140,141
N00000044,113,33,80,58,5,53,55,28,27
N00000045,269,67,202,147,13,134,122,54,68
N00000046,191,55,136,103,14,89,88,41,47
N00000047,184,41,143,101,13,88,83,28,55
N00000048,135,44,91,61,11,50,74,33,41
N00000049,120,36,84,60,10,50,60,26,34
N00000050,147,29,118,83,7,76,64,22,42
N00000051,110,44,66,48,10,38,62,34,28
N00000052,124,42,82,61,9,52,63,33,30
N00000053,112,37,75,59,11,48,53,26,27
N00000054,116,39,77,49,8,41,67,31,36
N00000055,113,37,76,59,10,49,54,27,27
N00000056,125,29,96,59,4,55,66,25,41
N00000057,106,40,66,54,14,40,52,26,26
N00000058,120,27,93,59,7,52,61,20,41
N00000059,99,32,67,49,8,41,50,24,26
N00000060,161,63,98,69,20,49,92,43,49
N00000061,124,40,84,67,12,55,57,28,29
N00000062,159,46,113,78,8,70,81,38,43
N00000063,146,48,98,78,16,62,68,32,36
N00000064,88,25,63,48,10,38,40,15,25
N00000065,192,57,135,94,12,82,98,45,53
N00000066,146,42,104,73,11,62,73,31,42
N00000067,111,28,83,48,7,41,63,21,42
N00000068,183,62,121,98,23,75,85,39,46
N00000069,87,36,51,40,8,32,47,28,19
N00000070,102,22,80,53,6,47,49,16,33
N00000071,123,37,86,60,13,47,63,24,39
N00000072,943,222,721,479,58,421,464,164,300
N00000073,237,52,185,114,16,98,123,36,87
N00000074,593,131,462,295,31,264,298,100,198
N00000075,216,37,179,156,14,142,60,23,37
N00000076,182,54,128,95,13,82,87,41,46
N00000077,141,40,101,71,10,61,70,30,40
N00000078,263,68,195,136,19,117,127,49,78
N00000079,300,89,211,167,23,144,133,66,67
N00000080,225,66,159,122,16,106,103,50,53
