GeographyCode,LC6101NI0001,LC6101NI0002,LC6101NI0003,LC6101NI0004,LC6101NI0005,LC6101NI0006,LC6101NI0007,LC6101NI0008,LC6101NI0009,LC6101NI0010,LC6101NI0011,LC6101NI0012,LC6101NI0013,LC6101NI0014,LC6101NI0015,LC6101NI0016,LC6101NI0017,LC6101NI0018,LC6101NI0019,LC6101NI0020,LC6101NI0021,LC6101NI0022,LC6101NI0023,LC6101NI0024,LC6101NI0025,LC6101NI0026,LC6101NI0027,LC6101NI0028,LC6101NI0029,LC6101NI0030,LC6101NI0031,LC6101NI0032,LC6101NI0033,LC6101NI0034,LC6101NI0035,LC6101NI0036,LC6101NI0037,LC6101NI0038,LC6101NI0039,LC6101NI0040,LC6101NI0041,LC6101NI0042,LC6101NI0043,LC6101NI0044,LC6101NI0045,LC6101NI0046,LC6101NI0047,LC6101NI0048,LC6101NI0049,LC6101NI0050,LC6101NI0051,LC6101NI0052,LC6101NI0053,LC6101NI0054,LC6101NI0055,LC6101NI0056,LC6101NI0057,LC6101NI0058,LC6101NI0059,LC6101NI0060,LC6101NI0061,LC6101NI0062,LC6101NI0063
N92000002,1431540,213851,1217689,227634,43284,184350,243938,32815,211123,254108,37795,216313,248578,41188,207390,193562,30492,163070,263720,28277,235443,692931,96785,596146,115789,18382,97407,119005,15018,103987,124690,16788,107902,122827,19222,103605,95982,14293,81689,114638,13082,101556,738609,117066,621543,111845,24902,86943,124933,17797,107136,129418,21007,108411,125751,21966,103785,97580,16199,81381,149082,15195,133887
BHSCT,283079,43158,239921,50508,10852,39656,52889,8221,44668,46245,6682,39563,46954,7250,39704,33778,4934,28844,52705,5219,47486,134054,19406,114648,24656,4549,20107,25893,3840,22053,22793,3047,19746,22534,3378,19156,16687,2343,14344,21491,2249,19242,149025,23752,125273,25852,6303,19549,26996,4381,22615,23452,3635,19817,24420,3872,20548,17091,2591,14500,31214,2970,28244
NHSCT,366872,53975,312897,56365,10416,45949,58602,7625,50977,66054,9833,56221,64435,10678,53757,50990,8099,42891,70426,7324,63102,177781,24211,153570,28811,4458,24353,28426,3409,25017,32253,4294,27959,32060,4921,27139,25267,3733,21534,30964,3396,27568,189091,29764,159327,27554,5958,21596,30176,4216,25960,33801,5539,28262,32375,5757,26618,25723,4366,21357,39462,3928,35534
SEHSCT,275606,43217,232389,39677,7444,32233,42860,5810,37050,48194,7445,40749,49169,8636,40533,40893,6986,33907,54813,6896,47917,132392,19468,112924,20554,3240,17314,20720,2641,18079,23099,3125,19974,23908,3938,19970,20059,3293,16766,24052,3231,20821,143214,23749,119465,19123,4204,14919,22140,3169,18971,25095,4320,20775,25261,4698,20563,20834,3693,17141,30761,3665,27096
SHSCT,276654,39908,236746,43856,7621,36235,50333,6265,44068,51542,7637,43905,47648,7824,39824,36112,5625,30487,47163,4936,42227,136019,18309,117710,22716,3184,19532,24681,2907,21774,25802,3507,22295,24100,3761,20339,17990,2606,15384,20730,2344,18386,140635,21599,119036,21140,4437,16703,25652,3358,22294,25740,4130,21610,23548,4063,19485,18122,3019,15103,26433,2592,23841
WHSCT,229329,33593,195736,37228,6951,30277,39254,4894,34360,42073,6198,35875,40372,6800,33572,31789,4848,26941,38613,3902,34711,112685,15391,97294,19052,2951,16101,19285,2221,17064,20743,2815,17928,20225,3224,17001,15979,2318,13661,17401,1862,15539,116644,18202,98442,18176,4000,14176,19969,2673,17296,21330,3383,17947,20147,3576,16571,15810,2530,13280,21212,2040,19172
BELB,228679,34407,194272,43173,9236,33937,44992,7021,37971,36478,5190,31288,36457,5306,31151,26688,3778,22910,40891,3876,37015,108381,15476,92905,20904,3853,17051,22183,3318,18865,18000,2378,15622,17529,2504,15025,13219,1810,11409,16546,1613,14933,120298,18931,101367,22269,5383,16886,22809,3703,19106,18478,2812,15666,18928,2802,16126,13469,1968,11501,24345,2263,22082
NEELB,338153,50153,288000,51453,9593,41860,53172,7011,46161,60853,9119,51734,59655,9941,49714,47352,7578,39774,65668,6911,58757,163607,22441,141166,26329,4135,22194,25686,3105,22581,29647,3965,25682,29638,4559,25079,23478,3467,20011,28829,3210,25619,174546,27712,146834,25124,5458,19666,27486,3906,23580,31206,5154,26052,30017,5382,24635,23874,4111,19763,36839,3701,33138
SEELB,330006,51968,278038,47012,9060,37952,50757,7010,43747,57961,8937,49024,59666,10580,49086,47983,8142,39841,66627,8239,58388,158065,23398,134667,24306,3936,20370,24430,3163,21267,27892,3794,24098,28913,4812,24101,23527,3826,19701,28997,3867,25130,171941,28570,143371,22706,5124,17582,26327,3847,22480,30069,5143,24926,30753,5768,24985,24456,4316,20140,37630,4372,33258
SELB,305373,43730,261643,48768,8444,40324,55763,6879,48884,56743,8351,48392,52428,8561,43867,39750,6146,33604,51921,5349,46572,150193,20079,130114,25198,3507,21691,27421,3211,24210,28408,3836,24572,26522,4123,22399,19779,2872,16907,22865,2530,20335,155180,23651,131529,23570,4937,18633,28342,3668,24674,28335,4515,23820,25906,4438,21468,19971,3274,16697,29056,2819,26237
