GeographyCode,QS611NI0001,QS611NI0002,QS611NI0003,QS611NI0004,QS611NI0005
95AA01S1,307,41,206,41,19
95AA01S2,490,119,134,148,89
95AA01S3,473,114,159,116,84
95AA02W1,566,40,162,149,215
95AA03W1,614,44,130,168,272
95AA04W1,785,160,247,250,128
95AA05W1,704,147,174,229,154
95AA06S1,538,68,198,122,150
95AA06S2,728,113,241,165,209
95AA07W1,611,94,161,191,165
95AA08W1,537,25,138,127,247
95AA09W1,736,79,168,139,350
95AA10W1,599,54,152,121,272
95AA11S1,880,133,296,192,259
95AA11S2,739,152,259,171,157
95AA12W1,741,222,259,179,81
95AA13S1,497,112,125,125,135
95AA13S2,466,93,141,111,121
95AA14W1,560,125,189,166,80
95AA15S1,879,145,302,197,235
95AA15S2,524,41,139,120,224
95AA16W1,633,48,144,157,284
95AA17W1,694,76,192,159,267
95AA18W1,660,241,229,115,75
95AA19W1,639,75,122,259,183
95BB01S1,417,84,141,134,58
95BB01S2,610,117,227,169,97
95BB02W1,716,70,178,164,304
95BB03S1,605,60,199,150,196
95BB03S2,597,87,204,158,148
95BB04S1,430,89,132,97,112
95BB04S2,405,116,165,76,48
95BB05S1,403,67,135,117,84
95BB05S2,544,93,175,152,124
95BB06W1,1030,86,298,240,406
95BB07S1,554,67,203,129,155
95BB07S2,348,50,110,96,92
95BB08S1,387,19,110,94,164
95BB08S2,399,51,147,112,89
95BB09S1,370,85,139,70,76
95BB09S2,537,121,237,91,88
95BB10S1,553,99,169,117,168
95BB10S2,419,134,156,83,46
95BB11S1,450,35,119,122,174
95BB11S2,411,67,147,106,91
95BB12S1,459,34,117,94,214
95BB12S2,353,93,116,60,84
95BB13S1,428,85,146,81,116
95BB13S2,418,33,141,94,150
95BB13S3,482,80,206,117,79
95BB14S1,388,111,121,114,42
95BB14S2,430,138,156,83,53
95BB15S1,519,78,150,199,92
95BB15S2,444,35,130,133,146
95BB16S1,386,111,151,79,45
95BB16S2,435,142,140,94,59
95BB17S1,615,56,211,173,175
95BB17S2,511,65,182,121,143
95BB18S1,538,56,156,151,175
95BB18S2,693,149,285,161,98
95BB19S1,484,61,179,117,127
95BB19S2,535,110,223,119,83
95BB19S3,417,54,167,113,83
95BB20S1,501,72,148,174,107
95BB20S2,433,40,135,124,134
95BB21S1,689,54,194,245,196
95BB21S2,663,101,183,219,160
95BB22S1,514,61,140,128,185
95BB22S2,499,31,119,109,240
95BB23S1,418,90,170,85,73
95BB23S2,417,74,170,98,75
95CC01W1,704,70,174,163,297
95CC02W1,639,101,151,249,138
95CC03W1,866,52,179,193,442
95CC04W1,571,60,116,239,156
95CC05W1,681,91,162,225,203
95CC06S1,439,113,146,97,83
95CC06S2,377,50,127,80,120
95CC07W1,878,112,210,302,254
95CC08W1,754,89,193,163,309
95CC09S1,356,64,95,141,56
95CC09S2,557,89,167,177,124
95CC10W1,635,139,176,186,134
95CC11W1,554,49,105,168,232
95CC12W1,655,72,152,258,173
95CC13W1,623,63,154,237,169
95CC14W1,854,124,264,246,220
95CC15W1,741,111,188,243,199
95CC16W1,770,99,178,253,240
95CC17W1,680,122,161,231,166
95CC18W1,649,155,185,137,172
95CC19W1,713,113,188,238,174
95CC20S1,378,65,138,86,89
95CC20S2,509,74,155,138,142
95CC21W1,871,112,265,217,277
95CC22W1,567,60,128,134,245
95DD01W1,516,141,160,89,126
95DD02S1,424,40,98,122,164
95DD02S2,729,130,230,195,174
95DD03W1,1016,269,336,198,213
95DD04W1,627,25,106,127,369
95DD05W1,564,30,94,117,323
95DD06W1,621,143,223,129,126
95DD07S1,434,86,117,100,131
95DD07S2,495,105,149,117,124
95DD08W1,708,45,163,140,360
95DD09W1,655,134,168,226,127
95DD10W1,805,81,178,227,319
95DD11W1,780,60,147,178,395
