GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
95AA01,4290,211,4079,3801,155,3646,489,56,433,3785,159,3626,153,14,139,3632,145,3487,505,52,453,336,42,294,169,10,159
95AA02,1734,446,1288,1269,249,1020,465,197,268,1241,246,995,82,25,57,1159,221,938,493,200,293,383,172,211,110,28,82
95AA03,1822,487,1335,1362,302,1060,460,185,275,1346,297,1049,98,36,62,1248,261,987,476,190,286,362,149,213,114,41,73
95AA04,3002,84,2918,2570,44,2526,432,40,392,2577,48,2529,126,6,120,2451,42,2409,425,36,389,306,34,272,119,2,117
95AA05,2654,141,2513,2209,71,2138,445,70,375,2237,73,2164,132,13,119,2105,60,2045,417,68,349,313,57,256,104,11,93
95AA06,4604,428,4176,3826,265,3561,778,163,615,3860,278,3582,211,39,172,3649,239,3410,744,150,594,567,124,443,177,26,151
95AA07,2119,180,1939,1732,111,1621,387,69,318,1738,112,1626,97,10,87,1641,102,1539,381,68,313,290,59,231,91,9,82
95AA08,1676,443,1233,1244,295,949,432,148,284,1272,294,978,104,27,77,1168,267,901,404,149,255,328,121,207,76,28,48
95AA09,2143,679,1464,1706,472,1234,437,207,230,1633,445,1188,87,32,55,1546,413,1133,510,234,276,350,175,175,160,59,101
95AA10,1953,450,1503,1488,296,1192,465,154,311,1505,304,1201,113,34,79,1392,270,1122,448,146,302,352,120,232,96,26,70
95AA11,5129,520,4609,4359,347,4012,770,173,597,4379,334,4045,223,29,194,4156,305,3851,750,186,564,547,144,403,203,42,161
95AA12,2775,68,2707,2404,42,2362,371,26,345,2439,44,2395,130,6,124,2309,38,2271,336,24,312,241,20,221,95,4,91
95AA13,3268,359,2909,2713,213,2500,555,146,409,2719,226,2493,140,36,104,2579,190,2389,549,133,416,415,110,305,134,23,111
95AA14,2302,72,2230,1954,37,1917,348,35,313,1932,40,1892,100,6,94,1832,34,1798,370,32,338,248,29,219,122,3,119
95AA15,4102,649,3453,3519,491,3028,583,158,425,3486,481,3005,135,28,107,3351,453,2898,616,168,448,448,130,318,168,38,130
95AA16,1807,509,1298,1362,340,1022,445,169,276,1368,327,1041,104,26,78,1264,301,963,439,182,257,341,143,198,98,39,59
95AA17,2142,428,1714,1723,287,1436,419,141,278,1717,293,1424,103,33,70,1614,260,1354,425,135,290,316,108,208,109,27,82
95AA18,2373,110,2263,1975,61,1914,398,49,349,2020,69,1951,122,13,109,1898,56,1842,353,41,312,276,36,240,77,5,72
95AA19,2645,229,2416,2251,170,2081,394,59,335,2216,157,2059,84,8,76,2132,149,1983,429,72,357,310,51,259,119,21,98
95BB01,3609,156,3453,3041,85,2956,568,71,497,3048,86,2962,148,8,140,2900,78,2822,561,70,491,420,63,357,141,7,134
95BB02,2334,615,1719,1635,319,1316,699,296,403,1635,318,1317,142,43,99,1493,275,1218,699,297,402,557,253,304,142,44,98
