GeographyCode,KS401NI0001,KS401NI0002,KS401NI0003,KS401NI0004,KS401NI0005,KS401NI0006,KS401NI0007,KS401NI0008,KS401NI0009,KS401NI0010,KS401NI0011,KS401NI0012,KS401NI0013,KS401NI0014,KS401NI0015,KS401NI0016,KS401NI0017,KS401NI0018,KS401NI0019,KS401NI0020
95AA01,1653,1653,0,1653,1522,131,877,386,273,104,7,0,6,53.06,23.35,16.52,6.29,0.42,0,0.36
95AA02,929,929,0,929,839,90,78,100,514,234,3,0,0,8.40,10.76,55.33,25.19,0.32,0,0
95AA03,880,880,0,880,845,35,77,177,581,42,3,0,0,8.75,20.11,66.02,4.77,0.34,0,0
95AA04,1061,1061,0,1061,1014,47,887,84,66,9,0,0,15,83.60,7.92,6.22,0.85,0,0,1.41
95AA05,960,960,0,960,920,40,553,336,59,8,1,1,2,57.60,35.00,6.15,0.83,0.10,0.10,0.21
95AA06,1629,1629,0,1629,1570,59,618,560,326,110,6,9,0,37.94,34.38,20.01,6.75,0.37,0.55,0
95AA07,854,854,0,854,820,34,449,135,250,17,1,0,2,52.58,15.81,29.27,1.99,0.12,0,0.23
95AA08,734,734,0,734,699,35,74,106,517,37,0,0,0,10.08,14.44,70.44,5.04,0,0,0
95AA09,975,975,0,975,943,32,255,75,511,125,6,2,1,26.15,7.69,52.41,12.82,0.62,0.21,0.10
95AA10,812,812,0,812,792,20,223,250,253,84,2,0,0,27.46,30.79,31.16,10.34,0.25,0,0
95AA11,2044,2044,0,2044,1993,51,771,628,521,111,10,3,0,37.72,30.72,25.49,5.43,0.49,0.15,0
95AA12,1014,1014,0,1014,971,43,824,131,51,1,4,1,2,81.26,12.92,5.03,0.10,0.39,0.10,0.20
95AA13,1311,1310,1,1312,1239,73,498,476,218,77,10,33,0,37.96,36.28,16.62,5.87,0.76,2.52,0
95AA14,820,820,0,820,779,41,739,51,21,1,1,1,6,90.12,6.22,2.56,0.12,0.12,0.12,0.73
95AA15,1641,1641,0,1641,1595,46,272,630,564,169,6,0,0,16.58,38.39,34.37,10.30,0.37,0,0
95AA16,865,865,0,865,832,33,53,137,515,158,2,0,0,6.13,15.84,59.54,18.27,0.23,0,0
95AA17,884,884,0,884,855,29,147,329,340,63,5,0,0,16.63,37.22,38.46,7.13,0.57,0,0
95AA18,1076,1076,0,1076,1004,72,660,163,139,108,5,1,0,61.34,15.15,12.92,10.04,0.46,0.09,0
95AA19,848,848,0,848,832,16,540,183,108,11,0,2,4,63.68,21.58,12.74,1.30,0,0.24,0.47
95BB01,1356,1356,0,1356,1307,49,611,494,219,28,1,3,0,45.06,36.43,16.15,2.06,0.07,0.22,0
95BB02,1167,1167,0,1167,1126,41,220,355,259,322,11,0,0,18.85,30.42,22.19,27.59,0.94,0,0
95BB03,1970,1970,0,1970,1776,194,882,461,538,38,5,4,42,44.77,23.40,27.31,1.93,0.25,0.20,2.13
95BB04,1358,1358,0,1358,1307,51,596,385,303,61,10,3,0,43.89,28.35,22.31,4.49,0.74,0.22,0
95BB05,1405,1405,0,1405,1318,87,855,270,255,14,9,1,1,60.85,19.22,18.15,1.00,0.64,0.07,0.07
95BB06,1670,1670,0,1670,1518,152,73,233,872,452,20,20,0,4.37,13.95,52.22,27.07,1.20,1.20,0
95BB07,1383,1383,0,1383,1315,68,300,430,449,175,12,16,1,21.69,31.09,32.47,12.65,0.87,1.16,0.07
95BB08,1083,1083,0,1083,1068,15,158,648,253,23,1,0,0,14.59,59.83,23.36,2.12,0.09,0,0
95BB09,1332,1332,0,1332,1253,79,541,368,312,82,28,0,1,40.62,27.63,23.42,6.16,2.10,0,0.08
95BB10,1685,1685,0,1685,1509,176,645,207,548,251,14,19,1,38.28,12.28,32.52,14.90,0.83,1.13,0.06
95BB11,1432,1432,0,1432,1338,94,356,431,504,140,1,0,0,24.86,30.10,35.20,9.78,0.07,0,0
95BB12,1191,1191,0,1191,1130,61,444,122,573,45,6,1,0,37.28,10.24,48.11,3.78,0.50,0.08,0
95BB13,1728,1728,0,1728,1687,41,560,749,376,36,6,1,0,32.41,43.34,21.76,2.08,0.35,0.06,0
95BB14,1251,1251,0,1251,1172,79,963,149,127,10,1,0,1,76.98,11.91,10.15,0.80,0.08,0,0.08
95BB15,1408,1408,0,1408,1287,121,757,303,333,8,1,2,4,53.76,21.52,23.65,0.57,0.07,0.14,0.28
95BB16,1231,1231,0,1231,1176,55,964,153,103,5,4,2,0,78.31,12.43,8.37,0.41,0.32,0.16,0
95BB17,1447,1447,0,1447,1399,48,446,662,322,11,5,1,0,30.82,45.75,22.25,0.76,0.35,0.07,0
