GeographyCode,DC2503NI0001,DC2503NI0002,DC2503NI0003,DC2503NI0004,DC2503NI0005,DC2503NI0006,DC2503NI0007,DC2503NI0008,DC2503NI0009,DC2503NI0010,DC2503NI0011,DC2503NI0012,DC2503NI0013,DC2503NI0014,DC2503NI0015,DC2503NI0016,DC2503NI0017,DC2503NI0018,DC2503NI0019,DC2503NI0020,DC2503NI0021,DC2503NI0022,DC2503NI0023,DC2503NI0024,DC2503NI0025,DC2503NI0026,DC2503NI0027,DC2503NI0028,DC2503NI0029,DC2503NI0030,DC2503NI0031,DC2503NI0032,DC2503NI0033,DC2503NI0034,DC2503NI0035,DC2503NI0036,DC2503NI0037,DC2503NI0038,DC2503NI0039,DC2503NI0040,DC2503NI0041,DC2503NI0042,DC2503NI0043,DC2503NI0044,DC2503NI0045,DC2503NI0046,DC2503NI0047,DC2503NI0048,DC2503NI0049,DC2503NI0050,DC2503NI0051,DC2503NI0052,DC2503NI0053,DC2503NI0054,DC2503NI0055,DC2503NI0056,DC2503NI0057,DC2503NI0058,DC2503NI0059,DC2503NI0060,DC2503NI0061,DC2503NI0062,DC2503NI0063,DC2503NI0064,DC2503NI0065,DC2503NI0066,DC2503NI0067,DC2503NI0068,DC2503NI0069,DC2503NI0070,DC2503NI0071,DC2503NI0072
95AA01,3344,582,392,609,138,511,977,135,2411,509,276,414,112,331,703,66,540,42,78,132,12,128,138,10,95,3,9,18,4,19,40,2,23,2,7,5,0,3,6,0,42,4,2,8,1,1,20,6,42,4,4,7,4,11,11,1,57,4,5,5,0,3,9,31,134,14,11,20,5,15,50,19
95AA02,1468,506,207,242,69,140,230,74,1254,457,173,213,65,119,186,41,82,19,15,18,2,7,20,1,21,8,5,1,0,3,4,0,4,0,1,0,0,3,0,0,23,14,2,2,0,3,2,0,9,2,2,3,0,0,1,1,48,5,7,4,0,2,3,27,27,1,2,1,2,3,14,4
95AA03,1436,565,210,219,60,163,167,52,1265,520,186,188,53,144,141,33,58,14,11,9,1,9,13,1,18,6,5,2,0,3,1,1,4,2,1,0,0,0,1,0,21,12,1,3,2,1,0,2,12,1,2,4,1,1,1,2,27,8,1,3,1,2,3,9,31,2,3,10,2,3,7,4
95AA04,2373,580,282,385,113,308,634,71,2174,551,262,352,108,290,554,57,102,13,14,19,3,9,38,6,11,2,0,2,0,1,6,0,3,0,0,0,0,0,3,0,38,11,3,7,2,4,9,2,3,1,0,0,0,1,0,1,5,0,0,0,0,0,2,3,37,2,3,5,0,3,22,2
95AA05,2083,513,243,298,141,260,546,82,1889,487,227,276,130,231,485,53,70,12,10,10,5,11,21,1,14,4,1,0,0,2,7,0,5,0,1,1,1,1,1,0,27,7,1,1,1,4,10,3,6,0,0,0,1,1,2,2,33,2,1,5,1,2,4,18,39,1,2,5,2,8,16,5
95AA06,3346,808,470,632,147,471,685,133,3046,749,425,583,137,426,626,100,138,29,21,25,5,22,26,10,20,5,5,4,0,1,4,1,9,2,1,2,1,1,1,1,53,13,4,9,4,5,10,8,15,2,6,4,0,0,2,1,18,4,2,0,0,2,5,5,47,4,6,5,0,14,11,7
95AA07,1714,474,205,270,90,188,413,74,1552,445,188,244,85,174,358,58,69,14,10,11,2,9,22,1,17,3,1,4,1,0,8,0,1,0,0,0,0,1,0,0,15,4,0,1,1,0,8,1,11,0,1,3,1,2,2,2,31,8,3,3,0,0,7,10,18,0,2,4,0,2,8,2
95AA08,1347,497,191,225,51,130,164,89,1140,441,169,193,46,109,131,51,81,23,11,17,3,12,12,3,23,8,2,7,0,2,3,1,2,0,0,1,0,1,0,0,18,12,0,2,1,1,2,0,9,3,2,1,0,0,2,1,54,4,4,2,1,5,10,28,20,6,3,2,0,0,4,5
95AA09,1772,602,248,259,59,171,339,94,1480,524,214,237,48,143,264,50,92,31,16,8,3,8,22,4,20,8,3,1,0,2,5,1,2,0,1,0,1,0,0,0,36,16,3,2,2,4,9,0,8,3,0,2,0,2,1,0,58,6,4,3,4,5,11,25,76,14,7,6,1,7,27,14
95AA10,1551,514,208,239,79,166,273,72,1346,459,180,211,71,151,233,41,91,27,16,17,5,8,16,2,16,7,1,3,1,1,3,0,4,1,0,0,0,0,3,0,24,8,2,3,0,4,5,2,5,0,2,0,2,0,1,0,30,1,2,2,0,1,5,19,35,11,5,3,0,1,7,8
95AA11,4152,899,506,704,165,555,1090,233,3322,792,396,576,139,455,878,86,289,34,57,66,14,48,66,4,72,16,10,10,4,9,20,3,11,2,3,5,0,0,1,0,54,17,4,4,0,5,23,1,32,1,3,4,3,8,10,3,235,25,22,23,0,22,29,114,137,12,11,16,5,8,63,22
95AA12,2162,460,217,357,85,284,708,51,1993,439,197,335,78,267,633,44,84,7,12,15,3,12,35,0,12,1,1,3,1,0,6,0,5,2,1,0,0,0,2,0,32,8,3,1,0,2,12,6,11,1,1,0,2,0,7,0,2,1,0,1,0,0,0,0,23,1,2,2,1,3,13,1
95AA13,2528,665,279,432,109,280,627,136,2176,590,247,377,100,249,539,74,115,21,17,17,4,7,43,6,28,9,2,4,0,5,6,2,4,0,1,1,0,1,1,0,46,12,3,6,2,5,16,2,19,5,1,5,1,0,2,5,104,23,6,14,2,8,10,41,36,5,2,8,0,5,10,6
95AA14,1852,435,162,289,135,217,540,74,1711,411,150,273,131,199,486,61,69,15,5,8,1,10,27,3,18,2,3,1,2,5,5,0,2,0,0,0,0,0,2,0,19,4,3,0,1,3,6,2,4,0,1,2,0,0,1,0,3,0,0,0,0,0,1,2,26,3,0,5,0,0,12,6
95AA15,3150,716,394,518,118,361,792,251,2411,595,339,442,95,307,564,69,178,30,23,36,11,23,53,2,43,11,8,6,2,5,11,0,10,3,2,2,1,0,2,0,35,9,2,3,0,4,12,5,34,5,5,5,4,7,6,2,254,51,4,14,2,4,37,142,185,12,11,10,3,11,107,31
95AA16,1463,538,224,205,53,137,199,107,1183,467,183,173,48,117,159,36,81,23,17,14,2,7,12,6,28,12,5,5,1,3,2,0,5,1,1,3,0,0,0,0,15,9,1,2,0,0,3,0,10,2,1,1,2,0,2,2,107,19,10,4,0,6,12,56,34,5,6,3,0,4,9,7
95AA17,1669,462,248,325,66,187,303,78,1413,401,225,272,62,173,233,47,102,24,14,22,2,7,26,7,20,7,2,3,0,1,5,2,2,1,0,1,0,0,0,0,26,11,2,4,1,1,5,2,18,2,2,6,0,3,4,1,51,13,2,11,0,1,7,17,37,3,1,6,1,1,23,2
95AA18,2063,453,184,333,85,220,725,63,1846,409,164,306,80,195,648,44,77,22,5,11,1,6,29,3,23,5,2,4,1,4,7,0,1,0,0,1,0,0,0,0,36,4,2,4,2,2,18,4,10,4,1,1,0,0,2,2,15,0,2,0,0,1,8,4,55,9,8,6,1,12,13,6
95AA19,2006,635,227,322,110,230,416,66,1894,608,220,302,107,223,378,56,32,11,2,9,0,2,7,1,10,2,1,0,1,0,5,1,0,0,0,0,0,0,0,0,28,4,2,4,0,3,13,2,3,1,0,0,0,0,2,0,17,5,1,4,0,1,4,2,22,4,1,3,2,1,7,4
95BB01,2837,612,362,498,155,447,678,85,2646,581,347,466,145,421,614,72,84,11,8,17,4,14,28,2,29,7,3,5,1,2,11,0,3,1,0,0,1,1,0,0,22,5,1,1,2,1,9,3,11,1,0,4,0,2,3,1,7,2,1,0,0,0,0,4,35,4,2,5,2,6,13,3
95BB02,2020,739,265,295,84,225,323,89,1814,672,240,272,77,204,289,60,66,24,8,10,1,10,13,0,22,8,6,3,1,3,1,0,9,1,2,0,1,0,5,0,38,18,2,4,1,2,8,3,11,1,3,1,0,2,0,4,34,6,0,2,0,3,3,20,26,9,4,3,3,1,4,2
95BB03,3402,1086,462,518,206,369,622,139,3000,989,407,450,188,330,526,110,224,55,35,46,9,21,52,6,59,17,7,11,3,5,14,2,11,3,1,0,1,2,4,0,35,15,0,5,2,4,8,1,23,2,6,4,2,4,3,2,15,1,0,0,1,1,4,8,35,4,6,2,0,2,11,10
95BB04,2614,640,263,409,142,287,774,99,2359,596,231,372,129,263,684,84,121,21,16,20,6,11,43,4,21,8,1,4,0,1,6,1,5,0,2,0,0,2,1,0,38,7,5,4,0,2,19,1,15,1,0,5,1,2,3,3,14,2,0,0,2,1,5,4,41,5,8,4,4,5,13,2
95BB05,2759,687,334,441,186,357,661,93,2478,631,303,392,168,330,575,79,136,23,15,30,8,12,45,3,25,5,0,1,4,2,10,3,5,1,2,0,0,1,1,0,44,14,4,6,2,3,12,3,13,2,1,4,1,3,2,0,5,1,0,1,0,0,1,2,53,10,9,7,3,6,15,3
