GeographyCode,DC2249NI0001,DC2249NI0002,DC2249NI0003,DC2249NI0004,DC2249NI0005,DC2249NI0006,DC2249NI0007,DC2249NI0008,DC2249NI0009,DC2249NI0010,DC2249NI0011,DC2249NI0012,DC2249NI0013,DC2249NI0014,DC2249NI0015,DC2249NI0016,DC2249NI0017,DC2249NI0018,DC2249NI0019,DC2249NI0020,DC2249NI0021,DC2249NI0022,DC2249NI0023,DC2249NI0024,DC2249NI0025,DC2249NI0026,DC2249NI0027,DC2249NI0028,DC2249NI0029,DC2249NI0030,DC2249NI0031,DC2249NI0032,DC2249NI0033,DC2249NI0034,DC2249NI0035,DC2249NI0036,DC2249NI0037,DC2249NI0038,DC2249NI0039,DC2249NI0040,DC2249NI0041,DC2249NI0042,DC2249NI0043,DC2249NI0044,DC2249NI0045,DC2249NI0046,DC2249NI0047,DC2249NI0048,DC2249NI0049,DC2249NI0050,DC2249NI0051,DC2249NI0052,DC2249NI0053,DC2249NI0054,DC2249NI0055,DC2249NI0056,DC2249NI0057,DC2249NI0058,DC2249NI0059,DC2249NI0060,DC2249NI0061,DC2249NI0062,DC2249NI0063,DC2249NI0064,DC2249NI0065,DC2249NI0066,DC2249NI0067,DC2249NI0068,DC2249NI0069,DC2249NI0070,DC2249NI0071,DC2249NI0072,DC2249NI0073,DC2249NI0074,DC2249NI0075,DC2249NI0076,DC2249NI0077,DC2249NI0078,DC2249NI0079,DC2249NI0080,DC2249NI0081,DC2249NI0082,DC2249NI0083,DC2249NI0084,DC2249NI0085,DC2249NI0086,DC2249NI0087,DC2249NI0088,DC2249NI0089,DC2249NI0090
95AA01,4444,1356,1971,921,441,82,527,43,887,187,534,120,263,158,62,6,37,0,123,28,3935,1265,1711,776,381,73,481,31,768,160,3222,728,1632,743,356,69,464,29,697,136,646,500,70,33,25,4,8,0,54,22,28,23,0,0,0,0,0,0,3,2,10,9,0,0,0,0,0,1,0,0,29,5,9,0,0,0,9,1,14,0,93,26,39,8,7,3,21,13,11,4
95AA02,1734,504,888,461,348,20,59,6,204,132,335,83,189,88,81,3,17,1,42,20,1412,429,700,374,267,17,42,4,167,112,1202,302,681,362,262,17,40,3,126,90,155,102,19,12,5,0,2,1,16,17,25,15,0,0,0,0,0,0,6,4,3,3,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,19,1,16,3,3,2,0,0,1,1,9,0
95AA03,1822,135,1222,684,378,50,110,15,315,135,502,30,361,206,121,6,28,1,76,34,1317,106,864,478,258,44,84,6,240,101,1223,74,840,467,250,44,79,4,219,86,63,18,23,11,7,0,5,1,9,12,21,9,0,0,0,0,0,0,9,3,2,1,0,0,0,0,0,0,1,0,8,4,1,0,1,0,0,1,2,0,19,0,6,2,1,0,3,8,4,1
95AA04,3013,751,1772,1198,317,64,193,19,343,128,352,87,208,162,23,5,18,2,39,16,2717,681,1589,1049,305,59,176,18,314,115,2313,403,1509,1000,285,57,167,15,282,104,396,275,79,49,20,2,8,3,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,1,0,4,0,24,1,18,6,7,1,4,0,4,1
95AA05,2701,1579,757,482,157,8,110,10,178,177,519,281,170,139,22,0,9,0,33,35,2209,1324,591,346,136,8,101,11,143,140,1527,729,557,336,125,8,88,8,119,114,650,582,29,10,11,0,8,2,18,19,4,0,0,0,0,0,0,0,0,4,17,11,4,0,0,0,4,1,0,1,11,2,1,0,0,0,1,0,6,2,23,10,7,4,0,0,3,0,4,2
95AA06,4647,3511,584,240,262,13,69,9,222,321,681,471,105,53,41,1,10,1,35,69,4041,3107,485,190,224,12,59,7,185,257,2229,1448,462,184,214,12,52,7,139,173,1784,1639,22,6,10,0,6,0,42,81,16,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,0,1,0,4,0,36,30,2,0,1,0,1,1,3,0
95AA07,2140,283,1553,1042,300,10,201,16,189,99,481,54,376,243,70,0,63,0,35,16,1692,238,1198,816,231,11,140,16,156,84,1515,143,1151,777,228,10,136,16,142,63,135,60,46,39,2,1,4,0,13,16,7,7,0,0,0,0,0,0,0,0,25,24,1,0,1,0,0,0,0,0,10,4,0,0,0,0,0,0,1,5,9,2,4,4,0,0,0,0,3,0
95AA08,1698,680,623,353,192,12,66,13,247,135,495,203,179,113,49,6,11,0,78,35,1215,488,444,240,143,6,55,11,172,100,966,312,427,236,137,6,48,7,145,75,181,135,10,4,6,0,0,2,19,15,23,21,0,0,0,0,0,0,2,0,21,9,0,0,0,0,0,2,0,10,24,11,7,0,0,0,7,0,6,0,12,5,0,0,0,0,0,4,1,2
95AA09,2220,387,1244,669,410,47,118,26,346,217,459,58,275,139,84,13,39,3,71,52,1742,319,973,534,323,35,81,13,270,167,1563,231,938,518,314,33,73,12,250,132,119,52,30,16,9,2,3,1,11,25,42,34,0,0,0,0,0,0,2,6,4,1,0,0,0,0,0,0,0,3,14,1,5,0,0,0,5,0,7,1,38,13,6,1,4,1,0,10,9,0
95AA10,1953,712,810,437,224,54,95,23,292,116,393,156,136,66,45,6,19,1,84,16,1574,564,681,376,183,48,74,18,211,100,1326,392,649,365,169,48,67,18,186,81,200,145,31,10,14,0,7,0,9,15,27,20,0,0,0,0,0,0,3,4,10,3,0,0,0,0,0,0,7,0,11,4,1,1,0,0,0,0,6,0,10,0,4,0,0,0,4,4,2,0
