GeographyCode,DC6506NI0001,DC6506NI0002,DC6506NI0003,DC6506NI0004,DC6506NI0005,DC6506NI0006,DC6506NI0007,DC6506NI0008,DC6506NI0009,DC6506NI0010,DC6506NI0011,DC6506NI0012,DC6506NI0013,DC6506NI0014,DC6506NI0015,DC6506NI0016,DC6506NI0017,DC6506NI0018,DC6506NI0019,DC6506NI0020,DC6506NI0021,DC6506NI0022,DC6506NI0023,DC6506NI0024
95AA01,3344,573,2771,582,29,553,392,36,356,609,99,510,138,15,123,511,101,410,977,275,702,135,18,117
95AA02,1468,164,1304,506,23,483,207,14,193,242,29,213,69,9,60,140,22,118,230,56,174,74,11,63
95AA03,1436,133,1303,565,13,552,210,14,196,219,28,191,60,5,55,163,25,138,167,39,128,52,9,43
95AA04,2373,453,1920,580,52,528,282,34,248,385,76,309,113,20,93,308,73,235,634,188,446,71,10,61
95AA05,2083,324,1759,513,16,497,243,33,210,298,54,244,141,11,130,260,63,197,546,138,408,82,9,73
95AA06,3346,432,2914,808,54,754,470,40,430,632,81,551,147,14,133,471,86,385,685,145,540,133,12,121
95AA07,1714,281,1433,474,29,445,205,23,182,270,46,224,90,8,82,188,37,151,413,131,282,74,7,67
95AA08,1347,148,1199,497,25,472,191,23,168,225,28,197,51,4,47,130,21,109,164,32,132,89,15,74
95AA09,1772,198,1574,602,29,573,248,22,226,259,28,231,59,6,53,171,27,144,339,81,258,94,5,89
95AA10,1551,208,1343,514,31,483,208,24,184,239,39,200,79,8,71,166,33,133,273,62,211,72,11,61
95AA11,4152,526,3626,899,36,863,506,51,455,704,82,622,165,18,147,555,89,466,1090,234,856,233,16,217
95AA12,2162,421,1741,460,40,420,217,31,186,357,69,288,85,10,75,284,61,223,708,205,503,51,5,46
95AA13,2528,352,2176,665,32,633,279,31,248,432,58,374,109,13,96,280,52,228,627,150,477,136,16,120
95AA14,1852,318,1534,435,32,403,162,25,137,289,39,250,135,13,122,217,44,173,540,158,382,74,7,67
95AA15,3150,320,2830,716,26,690,394,34,360,518,51,467,118,8,110,361,53,308,792,139,653,251,9,242
95AA16,1463,117,1346,538,16,522,224,16,208,205,17,188,53,5,48,137,16,121,199,39,160,107,8,99
95AA17,1669,170,1499,462,22,440,248,27,221,325,36,289,66,3,63,187,16,171,303,58,245,78,8,70
95AA18,2063,403,1660,453,26,427,184,23,161,333,71,262,85,14,71,220,46,174,725,211,514,63,12,51
95AA19,2006,243,1763,635,40,595,227,21,206,322,42,280,110,15,95,230,38,192,416,82,334,66,5,61
95BB01,2837,445,2392,612,33,579,362,38,324,498,86,412,155,18,137,447,87,360,678,168,510,85,15,70
95BB02,2020,232,1788,739,34,705,265,20,245,295,46,249,84,8,76,225,30,195,323,87,236,89,7,82
95BB03,3402,437,2965,1086,56,1030,462,50,412,518,73,445,206,19,187,369,66,303,622,157,465,139,16,123
95BB04,2614,426,2188,640,35,605,263,30,233,409,74,335,142,15,127,287,52,235,774,209,565,99,11,88
95BB05,2759,453,2306,687,25,662,334,42,292,441,78,363,186,19,167,357,87,270,661,190,471,93,12,81
95BB06,2484,251,2233,974,38,936,319,31,288,374,45,329,120,7,113,265,47,218,325,74,251,107,9,98
95BB07,2445,300,2145,730,31,699,307,32,275,353,45,308,154,13,141,315,56,259,482,116,366,104,7,97
95BB08,2102,237,1865,640,26,614,333,25,308,331,52,279,136,9,127,251,38,213,331,76,255,80,11,69
95BB09,2507,428,2079,526,33,493,259,39,220,402,81,321,152,16,136,347,75,272,732,175,557,89,9,80
95BB10,2828,508,2320,657,30,627,320,50,270,446,95,351,116,14,102,309,71,238,852,231,621,128,17,111
95BB11,2480,314,2166,786,26,760,335,39,296,401,71,330,159,15,144,257,39,218,431,111,320,111,13,98
95BB12,2177,331,1846,628,40,588,294,34,260,328,52,276,90,13,77,235,34,201,505,148,357,97,10,87
95BB13,3448,474,2974,871,52,819,483,51,432,632,92,540,191,22,169,433,78,355,703,165,538,135,14,121
95BB14,2533,482,2051,465,26,439,257,39,218,402,71,331,113,13,100,331,75,256,884,249,635,81,9,72
95BB15,2699,353,2346,717,38,679,346,28,318,475,74,401,170,14,156,308,55,253,571,136,435,112,8,104
95BB16,2571,483,2088,528,36,492,272,32,240,381,64,317,138,19,119,318,75,243,848,239,609,86,18,68
95BB17,2711,358,2353,690,31,659,388,39,349,476,71,405,157,14,143,367,54,313,532,129,403,101,20,81
95BB18,3308,505,2803,887,37,850,363,49,314,582,83,499,192,26,166,454,94,360,736,206,530,94,10,84
95BB19,3719,565,3154,776,56,720,504,61,443,726,109,617,213,28,185,551,91,460,824,199,625,125,21,104
95BB20,2729,428,2301,813,40,773,359,47,312,434,69,365,168,24,144,314,65,249,523,168,355,118,15,103
95BB21,3671,443,3228,1094,42,1052,493,38,455,583,82,501,211,23,188,452,84,368,657,155,502,181,19,162
95BB22,2238,209,2029,708,26,682,402,27,375,371,40,331,105,6,99,237,38,199,335,61,274,80,11,69
95BB23,2531,413,2118,501,38,463,310,36,274,460,76,384,149,18,131,318,76,242,681,154,527,112,15,97
95CC01,2046,254,1792,750,24,726,211,24,187,289,46,243,72,11,61,222,36,186,381,92,289,121,21,100
95CC02,2140,388,1752,634,42,592,226,31,195,344,67,277,104,20,84,261,60,201,496,160,336,75,8,67
95CC03,2141,258,1883,773,36,737,273,31,242,287,43,244,76,9,67,208,42,166,321,76,245,203,21,182
95CC04,1879,278,1601,659,41,618,230,35,195,230,33,197,94,7,87,222,44,178,348,103,245,96,15,81
95CC05,2112,300,1812,662,36,626,210,18,192,325,63,262,93,9,84,268,48,220,434,119,315,120,7,113
95CC06,2186,382,1804,489,43,446,251,38,213,356,56,300,90,14,76,256,48,208,637,167,470,107,16,91
95CC07,2554,369,2185,779,42,737,275,42,233,391,52,339,138,19,119,344,70,274,519,131,388,108,13,95
95CC08,1988,252,1736,679,32,647,257,32,225,284,46,238,61,4,57,206,37,169,395,89,306,106,12,94
95CC09,2630,451,2179,627,36,591,278,25,253,419,89,330,150,24,126,374,80,294,661,185,476,121,12,109
95CC10,2101,385,1716,562,37,525,202,28,174,333,63,270,103,9,94,216,48,168,603,191,412,82,9,73
95CC11,1482,146,1336,597,24,573,142,15,127,218,26,192,54,5,49,141,19,122,231,50,181,99,7,92
95CC12,2119,331,1788,664,50,614,228,24,204,356,86,270,102,10,92,262,52,210,423,96,327,84,13,71
95CC13,1923,312,1611,577,36,541,227,27,200,323,58,265,79,11,68,231,50,181,422,118,304,64,12,52
95CC14,2328,339,1989,659,44,615,281,27,254,384,64,320,98,14,84,311,48,263,508,128,380,87,14,73
95CC15,2228,357,1871,673,28,645,254,26,228,340,64,276,102,12,90,234,60,174,544,161,383,81,6,75
95CC16,2155,321,1834,779,53,726,246,32,214,318,46,272,80,16,64,258,59,199,385,105,280,89,10,79
95CC17,2117,357,1760,595,46,549,217,29,188,334,68,266,100,19,81,258,49,209,532,140,392,81,6,75
95CC18,1899,331,1568,474,34,440,164,23,141,275,51,224,51,5,46,198,52,146,614,157,457,123,9,114
95CC19,2070,344,1726,602,32,570,224,26,198,325,67,258,97,12,85,233,47,186,510,146,364,79,14,65
95CC20,2342,361,1981,581,36,545,280,35,245,395,58,337,107,21,86,286,42,244,556,151,405,137,18,119
95CC21,2289,353,1936,689,51,638,294,29,265,344,66,278,89,15,74,270,48,222,486,122,364,117,22,95
95CC22,1466,180,1286,517,20,497,169,16,153,202,33,169,37,3,34,152,25,127,261,73,188,128,10,118
95DD01,1765,316,1449,500,32,468,143,16,127,252,49,203,62,2,60,175,39,136,538,168,370,95,10,85
95DD02,3041,437,2604,853,47,806,377,44,333,489,71,418,167,20,147,401,75,326,632,165,467,122,15,107
95DD03,2779,515,2264,583,39,544,251,30,221,426,78,348,108,15,93,341,69,272,921,264,657,149,20,129
95DD04,1512,135,1377,752,33,719,209,20,189,221,20,201,41,4,37,139,20,119,101,30,71,49,8,41
95DD05,1330,114,1216,599,21,578,188,17,171,214,20,194,39,6,33,132,16,116,105,28,77,53,6,47
95DD06,2216,358,1858,618,27,591,189,27,162,342,70,272,86,17,69,250,51,199,587,151,436,144,15,129
95DD07,2710,481,2229,897,74,823,278,46,232,380,76,304,125,19,106,303,66,237,615,184,431,112,16,96
95DD08,1842,173,1669,766,47,719,244,21,223,204,29,175,69,7,62,119,13,106,235,47,188,205,9,196
95DD09,2059,364,1695,619,39,580,189,27,162,302,73,229,104,14,90,264,60,204,517,141,376,64,10,54
95DD10,2297,285,2012,833,27,806,274,24,250,323,47,276,114,14,100,286,49,237,376,115,261,91,9,82
95DD11,1718,167,1551,613,28,585,253,26,227,221,24,197,67,5,62,169,29,140,250,36,214,145,19,126
95DD12,2069,352,1717,648,32,616,204,35,169,318,46,272,129,21,108,246,52,194,453,156,297,71,10,61
95DD13,1435,158,1277,536,29,507,150,16,134,196,27,169,48,4,44,132,22,110,272,55,217,101,5,96
95DD14,2600,515,2085,604,55,549,255,38,217,405,93,312,117,12,105,332,60,272,824,246,578,63,11,52
95DD15,2606,467,2139,657,34,623,284,32,252,396,83,313,130,18,112,366,83,283,681,203,478,92,14,78
95DD16,2368,382,1986,624,34,590,263,28,235,370,74,296,129,15,114,307,48,259,579,164,415,96,19,77
95DD17,2658,474,2184,727,50,677,239,39,200,411,93,318,141,24,117,317,60,257,748,199,549,75,9,66
95DD18,1635,220,1415,698,39,659,166,17,149,187,35,152,76,11,65,166,39,127,254,65,189,88,14,74
95DD19,2661,344,2317,794,44,750,315,23,292,431,47,384,142,14,128,331,66,265,548,146,402,100,4,96
95DD20,1442,139,1303,678,40,638,213,17,196,224,31,193,57,5,52,116,15,101,107,27,80,47,4,43
95DD21,1744,222,1522,501,23,478,206,24,182,284,45,239,71,11,60,183,31,152,354,74,280,145,14,131
95DD22,2519,394,2125,860,41,819,213,29,184,380,81,299,122,19,103,318,59,259,547,158,389,79,7,72
95DD23,2027,335,1692,608,43,565,193,20,173,292,52,240,117,18,99,258,53,205,493,140,353,66,9,57
95DD24,2152,293,1859,548,31,517,244,19,225,327,57,270,96,7,89,263,54,209,526,111,415,148,14,134
95EE01,1421,196,1225,443,26,417,160,17,143,251,44,207,92,8,84,188,38,150,241,56,185,46,7,39
95EE02,1644,235,1409,552,30,522,193,21,172,252,46,206,66,12,54,193,30,163,341,91,250,47,5,42
95EE03,1605,212,1393,549,27,522,208,18,190,246,43,203,66,10,56,169,36,133,292,69,223,75,9,66
95EE04,1602,226,1376,564,36,528,174,19,155,260,46,214,82,10,72,199,34,165,274,73,201,49,8,41
95EE05,1243,174,1069,421,15,406,145,15,130,193,40,153,52,7,45,144,26,118,245,67,178,43,4,39
95EE06,1700,245,1455,527,26,501,195,26,169,283,59,224,101,14,87,227,46,181,294,64,230,73,10,63
95EE07,1407,155,1252,536,35,501,198,22,176,240,28,212,61,5,56,152,25,127,171,38,133,49,2,47
95EE08,1457,231,1226,468,24,444,145,23,122,203,33,170,61,8,53,160,30,130,357,101,256,63,12,51
95EE09,1500,265,1235,494,34,460,159,21,138,256,46,210,80,12,68,161,43,118,288,97,191,62,12,50
95EE10,1388,159,1229,483,21,462,145,17,128,213,21,192,75,8,67,163,26,137,239,54,185,70,12,58
95EE11,1339,214,1125,420,22,398,138,19,119,207,41,166,64,11,53,157,30,127,288,79,209,65,12,53
95EE12,1968,206,1762,705,41,664,302,28,274,318,34,284,82,9,73,224,39,185,272,52,220,65,3,62
95EE13,1280,179,1101,506,23,483,126,19,107,195,30,165,44,3,41,123,28,95,234,71,163,52,5,47
95EE14,2083,288,1795,614,37,577,254,27,227,352,45,307,93,5,88,277,47,230,442,122,320,51,5,46
95EE15,1357,228,1129,458,24,434,165,24,141,221,47,174,63,10,53,160,35,125,245,78,167,45,10,35
95EE16,1614,226,1388,489,29,460,207,22,185,297,41,256,83,10,73,189,26,163,298,89,209,51,9,42
95FF01,3660,595,3065,666,39,627,437,55,382,600,87,513,123,13,110,535,109,426,1174,276,898,125,16,109
95FF02,2105,355,1750,576,38,538,225,35,190,323,57,266,141,26,115,275,66,209,456,118,338,109,15,94
95FF03,2304,287,2017,583,30,553,360,37,323,402,49,353,103,12,91,335,52,283,432,98,334,89,9,80
95FF04,2038,378,1660,571,38,533,220,33,187,311,70,241,79,16,63,258,65,193,519,147,372,80,9,71
95FF05,2045,265,1780,590,39,551,258,18,240,309,36,273,103,15,88,226,34,192,478,119,359,81,4,77
95FF06,3093,516,2577,689,47,642,342,40,302,487,76,411,153,21,132,437,93,344,867,221,646,118,18,100
95FF07,2091,218,1873,733,37,696,310,41,269,333,41,292,89,8,81,214,29,185,298,54,244,114,8,106
95FF08,1941,256,1685,634,29,605,251,30,221,293,44,249,68,10,58,224,39,185,388,90,298,83,14,69
95FF09,1935,230,1705,664,22,642,264,22,242,306,41,265,81,11,70,185,33,152,346,93,253,89,8,81
95FF10,2625,413,2212,588,35,553,306,28,278,441,75,366,135,16,119,352,62,290,720,184,536,83,13,70
95FF11,2014,323,1691,595,31,564,216,30,186,307,48,259,105,16,89,253,60,193,466,128,338,72,10,62
95FF12,2184,325,1859,671,35,636,240,30,210,298,57,241,103,12,91,263,45,218,549,138,411,60,8,52
95FF13,2087,366,1721,583,34,549,260,30,230,326,76,250,100,6,94,224,45,179,528,169,359,66,6,60
95FF14,1917,390,1527,474,29,445,182,24,158,291,71,220,81,9,72,198,44,154,625,206,419,66,7,59
95FF15,2144,265,1879,783,44,739,252,32,220,328,52,276,101,9,92,260,39,221,315,80,235,105,9,96
95FF16,1910,319,1591,482,30,452,217,25,192,303,57,246,73,10,63,242,47,195,530,143,387,63,7,56
95FF17,1434,135,1299,558,22,536,185,9,176,197,23,174,51,3,48,149,18,131,233,55,178,61,5,56
95GG01,4151,499,3652,1508,63,1445,508,40,468,588,84,504,200,18,182,462,87,375,760,192,568,125,15,110
95GG02,4454,379,4075,2163,65,2098,677,55,622,659,81,578,149,12,137,383,79,304,315,77,238,108,10,98
95GG03,4897,1077,3820,948,57,891,394,53,341,599,133,466,167,16,151,581,139,442,2019,650,1369,189,29,160
95GG04,3862,340,3522,1810,60,1750,539,47,492,511,74,437,128,9,119,292,43,249,427,100,327,155,7,148
95GG05,5043,1003,4040,910,50,860,386,45,341,496,73,423,103,7,96,604,146,458,2258,650,1608,286,32,254
95GG06,4503,483,4020,1611,67,1544,673,50,623,707,99,608,229,17,212,528,104,424,587,136,451,168,10,158
95GG07,4242,384,3858,1620,37,1583,642,51,591,594,79,515,135,16,119,448,55,393,638,140,498,165,6,159
95GG08,3870,481,3389,1150,58,1092,469,46,423,619,96,523,144,7,137,471,75,396,884,186,698,133,13,120
95GG09,5018,850,4168,1226,54,1172,542,64,478,675,117,558,211,19,192,535,125,410,1631,447,1184,198,24,174
95GG10,3388,454,2934,1188,30,1158,369,31,338,384,67,317,105,9,96,404,104,300,681,185,496,257,28,229
95GG11,4544,703,3841,1274,53,1221,456,50,406,544,72,472,184,23,161,520,114,406,1318,366,952,248,25,223
95GG12,8071,1991,6080,927,44,883,496,55,441,720,137,583,80,9,71,3172,990,2182,2332,708,1624,344,48,296
95GG13,3820,556,3264,1207,46,1161,415,41,374,486,80,406,133,12,121,424,91,333,1042,279,763,113,7,106
95GG14,3890,825,3065,648,60,588,368,59,309,579,139,440,136,23,113,540,116,424,1522,414,1108,97,14,83
95GG15,4901,964,3937,978,69,909,405,43,362,649,114,535,171,14,157,558,115,443,1964,584,1380,176,25,151
95GG16,4343,716,3627,1104,58,1046,474,67,407,618,95,523,132,21,111,546,108,438,1311,350,961,158,17,141
95GG17,4048,462,3586,1339,59,1280,609,41,568,672,73,599,151,12,139,455,83,372,698,183,515,124,11,113
95GG18,3841,351,3490,1604,50,1554,549,54,495,582,49,533,110,7,103,371,54,317,503,127,376,122,10,112
95GG19,3619,184,3435,2062,47,2015,487,18,469,397,32,365,101,6,95,263,39,224,186,33,153,123,9,114
95GG20,3992,405,3587,1655,53,1602,511,49,462,470,69,401,107,9,98,377,62,315,707,149,558,165,14,151
95GG21,4134,339,3795,2077,65,2012,548,50,498,466,50,416,108,8,100,336,66,270,432,92,340,167,8,159
95GG22,4400,538,3862,1468,55,1413,561,56,505,657,86,571,193,20,173,503,84,419,900,230,670,118,7,111
95GG23,3766,694,3072,768,47,721,323,42,281,477,86,391,158,20,138,476,110,366,1432,373,1059,132,16,116
95GG24,3756,570,3186,1123,47,1076,395,49,346,487,75,412,160,18,142,405,88,317,1022,269,753,164,24,140
95GG25,4483,545,3938,1562,52,1510,604,59,545,759,112,647,183,12,171,572,119,453,703,179,524,100,12,88
95GG26,2990,261,2729,1436,44,1392,392,50,342,428,55,373,137,12,125,262,43,219,227,47,180,108,10,98
95GG27,5057,487,4570,1845,63,1782,762,53,709,815,84,731,199,23,176,619,110,509,706,146,560,111,8,103
95GG28,4393,400,3993,1662,61,1601,624,54,570,635,64,571,223,16,207,514,78,436,585,109,476,150,18,132
95GG29,3992,487,3505,1375,38,1337,390,35,355,463,63,400,133,14,119,380,62,318,1009,247,762,242,28,214
95GG30,3947,658,3289,1064,54,1010,403,48,355,545,79,466,234,19,215,464,95,369,1117,341,776,120,22,98
95GG31,5115,603,4512,1605,66,1539,697,64,633,837,110,727,241,16,225,603,105,498,984,223,761,148,19,129
95GG32,4915,544,4371,1701,61,1640,672,64,608,759,93,666,191,11,180,566,97,469,832,194,638,194,24,170
95GG33,4534,1157,3377,373,34,339,189,31,158,463,116,347,54,9,45,491,150,341,2843,789,2054,121,28,93
95GG34,4057,669,3388,910,46,864,391,58,333,493,86,407,153,11,142,503,101,402,1461,356,1105,146,11,135
95GG35,3931,320,3611,2066,48,2018,458,43,415,477,47,430,93,11,82,303,55,248,424,105,319,110,11,99
95GG36,4625,791,3834,1073,64,1009,518,78,440,632,112,520,271,26,245,568,134,434,1371,366,1005,192,11,181
95GG37,5118,1028,4090,825,64,761,350,56,294,509,98,411,155,21,134,517,105,412,2519,665,1854,243,19,224
95GG38,5511,1154,4357,873,66,807,308,41,267,528,110,418,111,7,104,507,122,385,3025,779,2246,159,29,130
95GG39,6134,833,5301,2160,73,2087,511,44,467,565,85,480,139,8,131,709,167,542,1702,425,1277,348,31,317
95GG40,3020,176,2844,1696,32,1664,338,21,317,343,31,312,89,1,88,230,29,201,237,54,183,87,8,79
95GG41,4523,1167,3356,647,52,595,329,62,267,608,148,460,107,12,95,512,157,355,2183,719,1464,137,17,120
95GG42,7120,2189,4931,424,40,384,241,34,207,633,180,453,60,5,55,2378,969,1409,3148,885,2263,236,76,160
95GG43,4087,513,3574,1314,48,1266,479,45,434,497,76,421,193,19,174,451,90,361,944,218,726,209,17,192
95GG44,4484,443,4041,1737,36,1701,516,37,479,515,65,450,188,13,175,447,83,364,775,187,588,306,22,284
95GG45,3956,699,3257,1016,39,977,378,44,334,437,87,350,119,12,107,374,79,295,1486,416,1070,146,22,124
95GG46,4092,383,3709,1999,61,1938,577,32,545,566,78,488,107,11,96,398,88,310,322,99,223,123,14,109
95GG47,4629,589,4040,1796,66,1730,667,67,600,639,100,539,145,16,129,468,83,385,747,233,514,167,24,143
95GG48,4142,310,3832,2107,46,2061,598,42,556,536,65,471,83,10,73,387,62,325,327,75,252,104,10,94
95GG49,7475,1968,5507,653,32,621,307,47,260,571,136,435,82,7,75,2487,845,1642,3037,842,2195,338,59,279
95GG50,4477,535,3942,1514,55,1459,601,56,545,519,64,455,122,14,108,429,84,345,1015,232,783,277,30,247
95GG51,3319,250,3069,1697,60,1637,489,33,456,365,32,333,137,12,125,259,39,220,238,69,169,134,5,129
95HH01,1711,283,1428,435,26,409,174,23,151,268,44,224,82,5,77,188,33,155,487,144,343,77,8,69
95HH02,2293,404,1889,382,31,351,327,42,285,421,59,362,124,15,109,380,74,306,587,175,412,72,8,64
95HH03,1404,259,1145,362,36,326,148,17,131,191,35,156,102,14,88,154,29,125,397,118,279,50,10,40
95HH04,2531,371,2160,535,30,505,316,49,267,438,61,377,186,16,170,374,64,310,596,146,450,86,5,81
95HH05,1630,136,1494,575,26,549,264,14,250,246,25,221,91,5,86,212,25,187,180,38,142,62,3,59
95HH06,3611,562,3049,660,44,616,555,66,489,662,90,572,233,18,215,555,122,433,840,211,629,106,11,95
95HH07,1234,139,1095,439,16,423,186,17,169,205,30,175,62,4,58,129,25,104,164,42,122,49,5,44
95HH08,2169,410,1759,453,33,420,211,25,186,325,69,256,100,6,94,284,63,221,706,200,506,90,14,76
95HH09,2301,300,2001,732,43,689,268,27,241,320,44,276,104,5,99,250,47,203,506,125,381,121,9,112
95HH10,1923,396,1527,291,23,268,172,23,149,325,67,258,71,8,63,263,62,201,757,207,550,44,6,38
95HH11,1143,87,1056,457,10,447,176,10,166,165,16,149,68,7,61,115,19,96,117,17,100,45,8,37
95HH12,1252,168,1084,360,37,323,183,12,171,216,28,188,79,8,71,163,21,142,204,56,148,47,6,41
95HH13,1052,94,958,410,22,388,194,9,185,155,20,135,62,4,58,128,17,111,80,20,60,23,2,21
95HH14,1281,141,1140,529,33,496,169,16,153,182,25,157,63,3,60,134,21,113,146,37,109,58,6,52
95HH15,2154,279,1875,573,24,549,259,30,229,350,50,300,115,10,105,324,56,268,468,103,365,65,6,59
95HH16,1767,333,1434,356,16,340,179,20,159,270,55,215,80,10,70,197,40,157,618,186,432,67,6,61
95HH17,1953,315,1638,443,32,411,256,30,226,335,60,275,119,8,111,258,53,205,472,123,349,70,9,61
95II01,2595,514,2081,512,39,473,251,44,207,412,77,335,155,18,137,348,78,270,829,244,585,88,14,74
95II02,3977,691,3286,932,44,888,382,57,325,520,106,414,133,10,123,453,102,351,1444,358,1086,113,14,99
95II03,2752,461,2291,381,26,355,239,29,210,407,71,336,94,10,84,384,79,305,1147,233,914,100,13,87
95II04,3366,473,2893,879,48,831,446,52,394,548,83,465,160,9,151,454,87,367,775,184,591,104,10,94
95II05,2854,504,2350,583,26,557,267,39,228,393,68,325,121,12,109,383,74,309,1014,273,741,93,12,81
95II06,2648,457,2191,395,33,362,247,21,226,436,93,343,91,11,80,368,59,309,1030,224,806,81,16,65
95II07,1687,169,1518,672,26,646,255,19,236,230,29,201,75,7,68,173,32,141,220,49,171,62,7,55
95II08,1983,273,1710,537,24,513,249,31,218,285,33,252,114,15,99,263,50,213,448,109,339,87,11,76
95II09,2712,410,2302,552,27,525,334,29,305,442,66,376,171,15,156,327,56,271,764,199,565,122,18,104
95II10,2118,231,1887,761,29,732,359,28,331,330,50,280,104,7,97,229,44,185,259,61,198,76,12,64
95II11,2105,405,1700,323,20,303,178,23,155,270,59,211,84,6,78,248,55,193,929,229,700,73,13,60
95II12,2036,427,1609,334,29,305,181,28,153,329,63,266,74,11,63,269,61,208,785,226,559,64,9,55
95II13,2198,265,1933,710,35,675,336,31,305,332,57,275,135,14,121,232,36,196,362,84,278,91,8,83
95II14,2123,430,1693,377,31,346,186,29,157,289,64,225,86,14,72,259,64,195,845,213,632,81,15,66
95II15,2669,481,2188,393,18,375,198,25,173,358,74,284,78,8,70,304,59,245,1254,287,967,84,10,74
95II16,1748,192,1556,583,29,554,258,22,236,259,21,238,107,9,98,187,35,152,289,72,217,65,4,61
95II17,2085,329,1756,644,36,608,245,29,216,293,45,248,118,6,112,241,53,188,471,149,322,73,11,62
95II18,1861,240,1621,684,31,653,246,20,226,257,38,219,93,8,85,183,27,156,331,104,227,67,12,55
95II19,3065,628,2437,633,39,594,324,55,269,498,110,388,199,22,177,430,107,323,869,281,588,112,14,98
95II20,2284,395,1889,420,25,395,203,29,174,291,51,240,85,8,77,253,59,194,939,212,727,93,11,82
95II21,1879,191,1688,716,29,687,277,19,258,306,44,262,110,6,104,182,32,150,222,51,171,66,10,56
95II22,1854,248,1606,519,26,493,266,27,239,259,35,224,108,10,98,214,39,175,407,99,308,81,12,69
95II23,1801,337,1464,378,21,357,159,19,140,247,50,197,58,6,52,214,46,168,671,182,489,74,13,61
95JJ01,1993,362,1631,602,44,558,224,28,196,280,58,222,79,11,68,234,53,181,505,161,344,69,7,62
95JJ02,1960,365,1595,464,34,430,188,33,155,280,60,220,61,10,51,210,33,177,690,180,510,67,15,52
95JJ03,1812,198,1614,717,35,682,308,33,275,318,37,281,51,10,41,178,40,138,199,41,158,41,2,39
95JJ04,2501,453,2048,740,51,689,283,29,254,366,77,289,119,16,103,269,63,206,636,197,439,88,20,68
95JJ05,1597,152,1445,694,29,665,186,18,168,237,28,209,48,4,44,140,20,120,190,49,141,102,4,98
95JJ06,1914,191,1723,739,35,704,305,24,281,291,42,249,52,6,46,193,31,162,222,43,179,112,10,102
95JJ07,2035,179,1856,875,30,845,294,25,269,346,42,304,67,4,63,183,31,152,196,40,156,74,7,67
95JJ08,2678,563,2115,602,37,565,247,26,221,381,92,289,91,14,77,513,150,363,745,231,514,99,13,86
95JJ09,1700,298,1402,548,37,511,153,28,125,243,50,193,68,7,61,172,36,136,456,132,324,60,8,52
95JJ10,2122,298,1824,746,33,713,268,29,239,312,61,251,113,15,98,196,36,160,394,109,285,93,15,78
95JJ11,2959,568,2391,652,39,613,313,50,263,465,87,378,104,16,88,343,83,260,949,271,678,133,22,111
95JJ12,2090,235,1855,697,31,666,209,17,192,335,46,289,120,13,107,235,45,190,419,75,344,75,8,67
95JJ13,3024,534,2490,615,54,561,385,50,335,516,80,436,101,13,88,394,89,305,900,233,667,113,15,98
95JJ14,1837,324,1513,584,35,549,226,27,199,271,52,219,70,7,63,197,50,147,422,144,278,67,9,58
95JJ15,1604,297,1307,407,27,380,138,16,122,211,45,166,50,6,44,158,28,130,547,162,385,93,13,80
95JJ16,1560,260,1300,475,32,443,149,20,129,188,37,151,55,7,48,204,48,156,417,103,314,72,13,59
95JJ17,1885,329,1556,605,25,580,206,23,183,253,59,194,96,19,77,224,54,170,439,137,302,62,12,50
95JJ18,1762,232,1530,581,21,560,186,28,158,236,31,205,63,2,61,155,29,126,441,108,333,100,13,87
95JJ19,2580,649,1931,329,20,309,163,30,133,302,76,226,57,8,49,675,193,482,945,285,660,109,37,72
95JJ20,3257,482,2775,832,61,771,431,56,375,563,76,487,131,18,113,420,71,349,765,189,576,115,11,104
