GeographyCode,LC2101NI0001,LC2101NI0002,LC2101NI0003,LC2101NI0004,LC2101NI0005,LC2101NI0006,LC2101NI0007,LC2101NI0008,LC2101NI0009,LC2101NI0010,LC2101NI0011,LC2101NI0012,LC2101NI0013,LC2101NI0014,LC2101NI0015,LC2101NI0016,LC2101NI0017,LC2101NI0018,LC2101NI0019,LC2101NI0020,LC2101NI0021,LC2101NI0022,LC2101NI0023,LC2101NI0024,LC2101NI0025
95AA01S1,1113,610,31,45,427,356,218,9,18,111,536,265,15,18,238,209,119,7,8,75,12,8,0,1,3
95AA01S2,1829,703,489,423,214,436,142,149,105,40,373,128,103,86,56,579,204,170,138,67,441,229,67,94,51
95AA01S3,1502,853,118,267,264,308,176,25,64,43,392,184,40,75,93,448,257,40,72,79,354,236,13,56,49
95AA02W1,1734,957,178,348,251,266,142,26,56,42,400,171,50,85,94,473,275,42,94,62,595,369,60,113,53
95AA03W1,1822,1208,68,317,229,386,257,15,70,44,447,265,15,91,76,481,326,15,74,66,508,360,23,82,43
95AA04W1,3013,1632,436,560,385,640,322,108,142,68,662,329,119,123,91,980,517,143,185,135,731,464,66,110,91
95AA05W1,2701,871,778,798,254,618,170,203,187,58,646,174,212,189,71,759,255,210,204,90,678,272,153,218,35
95AA06S1,1953,371,962,433,187,516,80,286,111,39,489,80,277,93,39,546,90,277,118,61,402,121,122,111,48
95AA06S2,2694,559,1397,558,180,785,107,472,161,45,674,130,364,134,46,817,151,440,168,58,418,171,121,95,31
95AA07W1,2140,1348,113,344,335,426,256,22,67,81,453,274,26,77,76,644,391,39,104,110,617,427,26,96,68
95AA08W1,1698,823,214,427,234,351,160,51,100,40,452,188,72,124,68,435,213,53,96,73,460,262,38,107,53
95AA09W1,2220,1283,132,409,396,448,271,25,78,74,559,294,35,101,129,566,339,27,106,94,647,379,45,124,99
95AA10W1,1953,1007,181,458,307,402,205,34,101,62,473,213,54,134,72,498,274,44,98,82,580,315,49,125,91
95AA11S1,2800,1323,272,631,574,573,275,49,141,108,702,263,62,163,214,831,412,87,163,169,694,373,74,164,83
95AA11S2,2564,1174,288,591,511,639,304,70,162,103,716,291,86,149,190,841,390,97,202,152,368,189,35,78,66
95AA12W1,2775,1771,85,453,466,613,381,22,107,103,508,323,12,88,85,966,606,31,154,175,688,461,20,104,103
95AA13S1,1745,533,470,477,265,415,111,113,115,76,433,111,135,122,65,513,165,133,131,84,384,146,89,109,40
95AA13S2,1562,496,448,382,236,364,95,109,103,57,390,97,126,99,68,465,135,152,98,80,343,169,61,82,31
95AA14W1,2349,1145,353,511,340,497,207,99,125,66,484,201,88,110,85,675,319,109,150,97,693,418,57,126,92
95AA15S1,2641,1226,248,579,588,625,308,52,146,119,875,351,85,197,242,720,360,55,144,161,421,207,56,92,66
95AA15S2,1545,649,204,341,351,411,187,52,93,79,467,182,57,98,130,413,168,55,83,107,254,112,40,67,35
95AA16W1,1807,1032,40,353,382,344,192,6,68,78,530,263,12,96,159,477,292,8,80,97,456,285,14,109,48
95AA17W1,2142,1105,216,536,285,473,236,40,138,59,587,300,59,138,90,595,305,65,139,86,487,264,52,121,50
95AA18W1,2439,1454,132,426,427,376,205,21,93,57,427,238,25,91,73,663,368,43,131,121,973,643,43,111,176
95AA19W1,2687,323,1344,854,166,681,84,345,219,33,742,67,403,216,56,723,82,369,232,40,541,90,227,187,37
95BB01S1,1574,891,100,290,293,332,192,17,51,72,352,168,25,81,78,507,300,25,88,94,383,231,33,70,49
95BB01S2,2035,1250,62,351,372,440,260,6,76,98,461,253,18,97,93,706,440,24,113,129,428,297,14,65,52
95BB02W1,2347,1444,88,452,363,327,211,14,64,38,537,294,16,106,121,607,369,23,117,98,876,570,35,165,106
95BB03S1,2026,1352,31,334,309,412,278,7,71,56,485,287,4,104,90,506,368,5,58,75,623,419,15,101,88
95BB03S2,2193,1342,82,386,383,405,254,12,73,66,397,237,4,79,77,626,385,30,105,106,765,466,36,129,134
95BB04S1,1438,867,42,277,252,180,104,5,39,32,301,159,7,75,60,373,237,12,54,70,584,367,18,109,90
95BB04S2,1610,986,52,276,296,254,144,7,56,47,269,162,11,41,55,421,241,10,73,97,666,439,24,106,97
95BB05S1,1490,875,57,306,252,281,152,9,70,50,293,157,14,76,46,454,262,15,91,86,462,304,19,69,70
95BB05S2,1911,1196,62,309,344,361,204,12,67,78,416,258,15,70,73,546,338,13,90,105,588,396,22,82,88
95BB06W1,2870,1732,89,586,463,386,227,6,99,54,816,439,23,174,180,722,436,23,145,118,946,630,37,168,111
95BB07S1,1658,1025,42,309,282,268,159,4,53,52,421,236,11,85,89,391,243,7,81,60,578,387,20,90,81
95BB07S2,1295,875,17,224,179,240,164,1,46,29,280,179,2,57,42,377,256,7,57,57,398,276,7,64,51
95BB08S1,1331,856,38,266,171,246,159,4,54,29,314,166,10,74,64,306,209,6,49,42,465,322,18,89,36
95BB08S2,1294,838,19,192,245,277,183,1,48,45,319,180,7,48,84,387,264,4,58,61,311,211,7,38,55
95BB09S1,1325,801,37,197,290,196,127,2,21,46,245,116,2,53,74,337,208,9,49,71,547,350,24,74,99
95BB09S2,1618,1005,29,274,310,240,130,2,48,60,392,226,4,63,99,496,307,12,85,92,490,342,11,78,59
95BB10S1,1690,973,55,293,369,228,138,1,40,49,313,171,8,60,74,441,245,21,68,107,708,419,25,125,139
95BB10S2,1637,1023,75,252,287,271,156,13,51,51,281,188,14,39,40,437,243,24,83,87,648,436,24,79,109
95BB11S1,1408,943,17,203,245,286,200,0,46,40,299,184,2,52,61,417,298,3,44,72,406,261,12,61,72
95BB11S2,1547,944,45,289,269,189,107,2,46,34,266,151,7,56,52,393,236,11,72,74,699,450,25,115,109
95BB12S1,1440,902,46,264,228,325,215,7,61,42,405,232,13,88,72,345,209,7,63,66,365,246,19,52,48
95BB12S2,1336,811,42,226,257,274,162,3,50,59,258,154,4,59,41,373,218,13,63,79,431,277,22,54,78
95BB13S1,1392,873,26,255,238,342,211,2,67,62,310,186,7,55,62,456,284,7,89,76,284,192,10,44,38
95BB13S2,1472,976,33,275,188,275,188,2,54,31,304,191,10,54,49,393,263,6,70,54,500,334,15,97,54
95BB13S3,1580,979,32,253,316,379,243,6,69,61,367,198,10,72,87,506,302,7,87,110,328,236,9,25,58
95BB14S1,1510,915,35,268,292,276,158,5,60,53,304,188,4,49,63,456,279,9,85,83,474,290,17,74,93
95BB14S2,1606,889,97,260,360,307,156,25,60,66,306,156,23,47,80,478,286,27,71,94,515,291,22,82,120
95BB15S1,2005,793,392,565,255,470,164,104,143,59,417,164,86,126,41,588,231,116,164,77,530,234,86,132,78
95BB15S2,1484,595,237,473,179,320,142,38,105,35,376,136,70,123,47,426,163,65,136,62,362,154,64,109,35
95BB16S1,1533,986,34,237,276,252,146,1,43,62,291,179,8,43,61,436,274,7,68,87,554,387,18,83,66
95BB16S2,1603,985,54,250,314,313,197,8,47,61,264,146,11,44,63,494,306,24,76,88,532,336,11,83,102
95BB17S1,1793,1192,35,285,281,441,304,8,65,64,439,284,12,64,79,573,378,12,87,96,340,226,3,69,42
95BB17S2,1763,1033,52,358,320,404,235,10,86,73,395,243,3,79,70,493,288,19,99,87,471,267,20,94,90
95BB18S1,1688,1106,27,279,276,360,237,3,48,72,426,263,5,90,68,445,303,3,74,65,457,303,16,67,71
95BB18S2,2591,1585,76,458,472,611,377,12,131,91,490,267,15,102,106,790,478,31,131,150,700,463,18,94,125
95BB19S1,1613,1044,55,258,256,295,195,15,39,46,366,213,10,71,72,442,288,18,63,73,510,348,12,85,65
95BB19S2,1784,1081,41,314,348,446,265,15,75,91,399,223,7,85,84,635,387,13,99,136,304,206,6,55,37
95BB19S3,1391,853,47,233,258,328,189,6,75,58,298,187,10,42,59,509,303,21,81,104,256,174,10,35,37
95BB20S1,1889,550,612,539,188,390,124,132,96,38,447,110,168,129,40,529,163,156,143,67,523,153,156,171,43
95BB20S2,1524,426,445,527,126,294,85,75,112,22,371,98,124,123,26,399,107,108,145,39,460,136,138,147,39
95BB21S1,2387,1595,50,310,432,534,363,13,61,97,531,340,11,76,104,675,457,13,77,128,647,435,13,96,103
95BB21S2,2332,1254,185,488,405,514,268,30,111,105,483,229,57,108,89,694,362,50,156,126,641,395,48,113,85
95BB22S1,1557,990,32,290,245,412,273,7,69,63,378,224,7,81,66,497,312,12,93,80,270,181,6,47,36
95BB22S2,1483,957,21,256,249,390,256,5,67,62,384,226,4,83,71,428,283,5,58,82,281,192,7,48,34
95BB23S1,1540,920,76,291,253,237,134,16,53,34,289,158,7,67,57,396,246,20,58,72,618,382,33,113,90
95BB23S2,1485,877,46,248,314,257,136,4,50,67,338,193,15,58,72,454,272,12,73,97,436,276,15,67,78
