GeographyCode,QS107NI0001,QS107NI0002,QS107NI0003,QS107NI0004,QS107NI0005,QS107NI0006,QS107NI0007,QS107NI0008,QS107NI0009,QS107NI0010,QS107NI0011,QS107NI0012
N00000001,626,550,530,8,2,10,76,50,9,7,8,2
N00000002,269,156,142,14,0,0,113,67,3,15,10,18
N00000003,175,120,116,4,0,0,55,40,4,1,3,7
N00000004,466,312,286,24,0,2,154,123,0,7,6,18
N00000005,281,196,182,12,0,2,85,67,1,6,4,7
N00000006,187,112,100,12,0,0,75,47,5,4,6,13
N00000007,194,124,118,4,0,2,70,48,2,2,3,15
N00000008,244,130,112,18,0,0,114,70,2,14,17,11
N00000009,564,364,318,42,0,4,200,139,4,19,18,20
N00000010,188,104,96,6,0,2,84,56,1,6,6,15
N00000011,251,140,124,16,0,0,111,62,4,7,11,27
N00000012,222,118,98,20,0,0,104,59,3,11,11,20
N00000013,227,102,88,14,0,0,125,69,3,7,16,30
N00000014,382,210,162,46,0,2,172,108,3,20,18,23
N00000015,195,92,78,14,0,0,103,53,1,5,16,28
N00000016,191,76,56,20,0,0,115,65,1,8,19,22
N00000017,252,124,108,12,0,4,128,77,1,14,22,14
N00000018,181,104,84,18,0,2,77,53,1,9,7,7
N00000019,212,106,90,14,0,2,106,62,0,14,16,14
N00000020,170,62,42,20,0,0,108,50,4,12,25,17
N00000021,215,108,86,22,0,0,107,62,0,12,16,17
N00000022,222,82,70,10,0,2,140,83,2,13,14,28
N00000023,184,82,68,14,0,0,102,47,3,5,20,27
N00000024,402,276,250,26,0,0,126,98,2,7,6,13
N00000025,371,248,234,12,0,2,123,82,6,9,11,15
N00000026,379,226,214,12,0,0,153,120,2,8,6,17
N00000027,396,246,220,26,0,0,150,111,3,11,11,14
N00000028,188,98,86,12,0,0,90,62,3,7,9,9
N00000029,323,210,200,10,0,0,113,83,2,8,5,15
N00000030,305,180,168,12,0,0,125,95,2,8,8,12
N00000031,508,310,296,14,0,0,198,154,3,11,11,19
N00000032,293,180,168,12,0,0,113,77,3,6,8,19
N00000033,380,248,232,16,0,0,132,99,2,6,9,16
N00000034,337,226,204,22,0,0,111,77,3,7,6,18
N00000035,239,116,98,18,0,0,123,92,0,7,11,13
N00000036,279,158,142,14,0,2,121,90,1,5,11,14
N00000037,236,112,98,14,0,0,124,78,3,15,9,19
N00000038,307,180,172,8,0,0,127,89,6,7,7,18
N00000039,894,510,442,66,0,2,384,249,5,46,28,56
N00000040,209,96,82,14,0,0,113,75,0,12,14,12
N00000041,321,204,180,24,0,0,117,92,3,10,4,8
N00000042,315,180,170,10,0,0,135,106,2,11,4,12
N00000043,798,492,452,36,2,2,306,214,8,29,28,27
N00000044,223,108,88,18,0,2,115,83,0,13,5,14
N00000045,383,268,244,22,0,2,115,82,3,7,6,17
N00000046,313,198,182,12,0,4,115,90,0,6,6,13
N00000047,293,184,174,10,0,0,109,67,6,6,12,18
N00000048,240,128,98,30,0,0,112,67,3,11,16,15
N00000049,210,90,70,20,0,0,120,77,3,9,24,7
N00000050,254,152,140,12,0,0,102,63,2,10,10,17
N00000051,231,96,66,30,0,0,135,80,3,14,20,18
N00000052,245,114,98,16,0,0,131,92,6,14,11,8
N00000053,199,80,64,16,0,0,119,73,1,21,18,6
N00000054,195,88,68,20,0,0,107,62,2,11,24,8
N00000055,229,118,100,18,0,0,111,60,2,6,21,22
N00000056,226,118,94,22,0,2,108,65,1,6,16,20
N00000057,197,90,58,32,0,0,107,65,3,9,20,10
N00000058,198,74,64,8,0,2,124,77,0,15,23,9
N00000059,178,72,48,24,0,0,106,58,3,15,16,14
N00000060,306,128,100,22,0,6,178,105,1,29,25,18
N00000061,238,154,140,14,0,0,84,46,3,2,10,23
N00000062,299,200,188,12,0,0,99,70,4,7,5,13
N00000063,279,140,108,30,0,2,139,86,7,17,15,14
N00000064,218,80,56,24,0,0,138,93,4,13,19,9
N00000065,327,218,194,24,0,0,109,70,0,8,6,25
N00000066,232,150,142,6,0,2,82,53,0,4,11,14
N00000067,243,108,90,12,0,6,135,88,3,15,16,13
N00000068,293,202,182,16,0,4,91,73,0,5,4,9
N00000069,238,74,56,18,0,0,164,109,1,14,20,20
N00000070,216,142,132,8,0,2,74,43,1,3,6,21
N00000071,229,118,100,16,0,2,111,67,2,7,8,27
N00000072,1290,850,684,150,4,12,440,311,18,36,38,37
N00000073,390,154,110,44,0,0,236,135,5,20,35,41
N00000074,764,530,472,58,0,0,234,164,4,27,27,12
N00000075,218,134,116,18,0,0,84,52,0,8,10,14
N00000076,258,180,162,18,0,0,78,55,2,6,4,11
N00000077,222,132,118,12,0,2,90,68,2,4,6,10
N00000078,330,242,218,24,0,0,88,61,0,12,8,7
N00000079,423,278,254,22,0,2,145,101,4,7,6,27
N00000080,324,226,208,16,0,2,98,73,1,4,8,12
N00000081,279,172,156,14,0,2,107,68,2,4,10,23
N00000082,277,166,164,2,0,0,111,73,1,4,11,22
N00000083,503,344,324,18,2,0,159,118,4,4,10,23
N00000084,356,252,242,8,0,2,104,76,3,4,5,16
N00000085,316,138,108,30,0,0,178,110,4,22,23,19
N00000086,292,143,118,25,0,0,149,112,0,11,15,11
N00000087,684,434,404,28,0,2,250,181,12,14,23,20
N00000088,196,72,52,20,0,0,124,51,1,15,21,36
N00000089,352,218,192,20,0,6,134,100,1,8,10,15
N00000090,300,176,152,24,0,0,124,89,3,9,11,12
N00000091,350,218,184,34,0,0,132,85,5,13,16,13
N00000092,371,250,244,2,0,4,121,84,5,6,6,20
N00000093,319,186,178,8,0,0,133,92,2,7,6,26
N00000094,385,256,248,8,0,0,129,95,4,2,7,21
N00000095,353,202,194,6,0,2,151,115,3,9,6,18
N00000096,377,252,234,16,0,2,125,88,4,6,7,20
N00000097,621,408,334,74,0,0,213,158,2,22,27,4
N00000098,905,600,490,96,0,14,305,220,14,30,23,18
N00000099,202,104,92,12,0,0,98,56,4,6,14,18
N00000100,277,126,106,18,0,2,151,90,4,18,22,17
N00000101,196,70,42,28,0,0,126,78,2,8,33,5
N00000102,252,138,120,14,0,4,114,75,2,11,16,10
N00000103,380,212,164,44,0,4,168,107,5,19,26,11
N00000104,233,134,98,36,0,0,99,66,2,12,14,5
N00000105,280,128,112,16,0,0,152,87,3,11,24,27
N00000106,148,54,44,10,0,0,94,55,1,10,18,10
N00000107,200,94,72,22,0,0,106,58,0,15,23,10
N00000108,205,124,114,10,0,0,81,44,1,9,8,19
N00000109,409,222,172,42,0,8,187,124,2,17,28,16
N00000110,221,106,78,22,0,6,115,76,2,6,15,16
N00000111,282,190,172,14,0,4,92,57,3,4,10,18
N00000112,302,160,132,24,0,4,142,103,4,14,13,8
N00000113,237,136,114,20,0,2,101,60,1,8,19,13
N00000114,258,160,136,24,0,0,98,63,3,8,13,11
N00000115,242,108,90,18,0,0,134,92,3,4,20,15
N00000116,223,96,76,18,0,2,127,80,0,15,22,10
N00000117,125,30,18,10,0,2,95,45,0,12,28,10
N00000118,269,158,142,14,0,2,111,69,4,7,12,19
N00000119,253,176,170,6,0,0,77,47,2,5,3,20
N00000120,275,172,166,6,0,0,103,66,3,4,5,25
N00000121,245,142,118,22,0,2,103,65,4,10,12,12
N00000122,385,266,238,26,0,2,119,78,3,6,13,19
N00000123,289,198,194,2,2,0,91,56,2,5,9,19
N00000124,281,202,172,28,0,2,79,49,1,3,10,16
N00000125,348,180,174,6,0,0,168,123,7,10,8,20
N00000126,351,188,186,2,0,0,163,133,0,5,6,19
N00000127,285,152,144,8,0,0,133,86,4,15,7,21
N00000128,729,412,392,14,2,4,317,261,9,10,9,28
N00000129,251,102,96,6,0,0,149,99,2,11,15,22
N00000130,357,250,232,14,0,4,107,85,2,4,14,2
N00000131,318,204,198,6,0,0,114,87,2,3,7,15
N00000132,294,174,160,12,2,0,120,79,3,5,9,24
N00000133,273,150,136,14,0,0,123,71,2,9,14,27
N00000134,350,220,188,30,0,2,130,85,1,10,15,19
N00000135,246,128,102,26,0,0,118,82,1,13,7,15
N00000136,402,272,248,18,0,6,130,92,3,10,11,14
N00000137,252,166,160,6,0,0,86,56,3,6,6,15
N00000138,345,242,232,10,0,0,103,79,2,3,13,6
N00000139,259,160,142,18,0,0,99,56,2,7,14,20
N00000140,302,166,146,20,0,0,136,83,0,11,15,27
N00000141,373,166,146,16,0,4,207,91,5,21,36,54
N00000142,164,72,60,12,0,0,92,39,1,6,19,27
N00000143,183,68,54,14,0,0,115,64,0,12,19,20
N00000144,191,88,66,22,0,0,103,64,2,11,13,13
N00000145,111,30,24,6,0,0,81,28,0,6,11,36
N00000146,240,142,126,12,2,2,98,64,2,7,4,21
N00000147,184,88,78,10,0,0,96,58,1,8,20,9
N00000148,500,286,210,66,4,6,214,130,2,17,33,32
N00000149,347,216,186,26,0,4,131,59,4,8,21,39
N00000150,291,204,196,8,0,0,87,45,3,8,7,24
N00000151,247,136,112,22,0,2,111,66,5,11,14,15
N00000152,229,120,104,14,0,2,109,56,5,10,18,20
N00000153,199,114,86,28,0,0,85,44,5,3,10,23
N00000154,215,122,108,14,0,0,93,52,7,2,13,19
N00000155,281,164,146,18,0,0,117,75,3,5,15,19
N00000156,245,178,162,14,0,2,67,42,0,6,5,14
N00000157,304,206,186,20,0,0,98,70,4,1,10,13
N00000158,542,378,332,40,0,6,164,93,3,20,26,22
N00000159,202,108,94,12,0,2,94,50,3,3,22,16
N00000160,239,140,134,6,0,0,99,58,4,8,15,14
N00000161,294,216,208,8,0,0,78,56,2,1,11,8
N00000162,219,130,120,6,0,4,89,57,2,4,10,16
N00000163,268,118,94,24,0,0,150,86,3,12,25,24
N00000164,242,172,156,14,0,2,70,43,2,4,1,20
N00000165,267,172,162,10,0,0,95,58,3,9,5,20
N00000166,243,166,158,8,0,0,77,45,1,3,9,19
N00000167,315,204,190,14,0,0,111,73,1,5,8,24
N00000168,289,200,182,14,2,2,89,50,2,6,12,19
N00000169,595,396,374,20,2,0,199,125,5,9,26,34
N00000170,282,194,166,26,0,2,88,58,2,9,11,8
N00000171,332,226,222,4,0,0,106,73,3,6,2,22
N00000172,637,422,380,42,0,0,215,137,8,16,23,31
N00000173,313,192,184,8,0,0,121,80,5,7,5,24
N00000174,306,172,132,40,0,0,134,83,1,12,15,23
N00000175,294,202,184,16,0,2,92,61,5,4,13,9
N00000176,397,204,174,26,0,4,193,123,1,17,21,31
N00000177,276,142,108,34,0,0,134,66,2,11,32,23
N00000178,572,222,184,34,2,2,350,178,4,22,61,85
N00000179,749,304,230,64,6,4,445,248,10,41,58,88
N00000180,228,104,86,18,0,0,124,69,5,6,18,26
N00000181,262,118,74,44,0,0,144,81,2,14,30,17
N00000182,191,116,82,30,0,4,75,41,0,5,7,22
N00000183,238,122,98,22,0,2,116,66,7,18,19,6
N00000184,273,114,70,40,0,4,159,80,1,17,23,38
N00000185,201,100,90,10,0,0,101,42,3,6,11,39
N00000186,224,114,78,36,0,0,110,55,1,13,21,20
N00000187,206,90,74,16,0,0,116,55,0,12,29,20
N00000188,268,140,112,28,0,0,128,85,1,6,16,20
N00000189,264,178,168,10,0,0,86,55,2,6,8,15
N00000190,256,190,178,10,0,2,66,48,1,3,3,11
N00000191,267,172,160,10,0,2,95,60,3,3,14,15
N00000192,254,154,138,14,0,2,100,64,1,6,16,13
N00000193,213,104,78,26,0,0,109,73,0,5,17,14
N00000194,209,122,116,6,0,0,87,46,2,5,18,16
N00000195,211,88,72,14,0,2,123,60,3,6,13,41
N00000196,198,96,90,4,0,2,102,42,2,9,29,20
N00000197,254,174,154,20,0,0,80,59,0,6,7,8
N00000198,234,154,142,12,0,0,80,53,0,10,5,12
N00000199,275,202,186,14,0,2,73,51,2,2,9,9
N00000200,254,178,174,4,0,0,76,51,1,5,10,9
N00000201,256,166,152,10,0,4,90,47,2,7,15,19
N00000202,264,190,182,6,0,2,74,44,4,3,12,11
N00000203,281,168,154,12,0,2,113,58,6,10,13,26
N00000204,294,190,170,18,0,2,104,58,8,5,17,16
N00000205,242,158,138,20,0,0,84,47,2,6,13,16
N00000206,345,182,142,36,2,2,163,94,2,8,31,28
N00000207,225,130,104,24,2,0,95,65,2,6,11,11
N00000208,273,184,178,6,0,0,89,66,0,1,9,13
N00000209,293,194,188,6,0,0,99,75,2,5,5,12
N00000210,327,146,110,34,0,2,181,82,8,20,30,41
N00000211,452,246,212,32,0,2,206,94,4,14,40,54
N00000212,142,60,48,12,0,0,82,49,0,11,14,8
N00000213,252,126,102,24,0,0,126,62,4,11,26,23
N00000214,263,154,140,10,0,4,109,65,3,8,14,19
N00000215,336,222,218,2,0,2,114,74,2,10,12,16
N00000216,334,226,186,34,0,6,108,78,5,4,10,11
N00000217,382,270,260,10,0,0,112,77,4,7,8,16
N00000218,292,216,206,8,0,2,76,43,5,3,8,17
N00000219,199,82,60,22,0,0,117,58,5,13,28,13
N00000220,214,88,64,22,0,2,126,82,2,9,27,6
N00000221,204,100,84,14,0,2,104,52,0,13,28,11
N00000222,241,152,138,14,0,0,89,47,3,7,15,17
N00000223,264,166,160,6,0,0,98,57,3,8,7,23
N00000224,206,104,96,8,0,0,102,65,2,6,15,14
N00000225,138,66,60,6,0,0,72,26,3,2,9,32
N00000226,232,132,120,10,2,0,100,66,2,3,9,20
N00000227,174,74,66,8,0,0,100,40,1,14,24,21
N00000228,264,174,166,8,0,0,90,50,3,1,9,27
N00000229,292,168,154,12,0,2,124,72,5,9,15,23
N00000230,220,108,92,16,0,0,112,73,0,7,18,14
N00000231,214,84,56,24,0,4,130,82,3,11,20,14
N00000232,251,136,114,20,0,2,115,77,2,11,12,13
N00000233,223,108,88,20,0,0,115,69,2,7,24,13
N00000234,207,112,72,38,0,2,95,54,2,5,25,9
N00000235,257,156,132,24,0,0,101,62,1,8,12,18
N00000236,213,118,98,20,0,0,95,60,2,8,13,12
N00000237,324,230,228,2,0,0,94,64,3,6,6,15
N00000238,268,192,184,8,0,0,76,55,1,2,7,11
N00000239,200,98,76,22,0,0,102,56,1,9,20,16
N00000240,242,98,76,20,0,2,144,91,3,16,27,7
N00000241,329,238,224,12,0,2,91,72,3,3,8,5
N00000242,279,206,200,6,0,0,73,61,1,2,3,6
N00000243,218,128,112,16,0,0,90,56,2,6,8,18
N00000244,214,102,80,18,0,4,112,68,1,7,19,17
N00000245,262,174,154,18,0,2,88,59,1,4,11,13
N00000246,238,124,104,20,0,0,114,65,2,7,19,21
N00000247,259,188,174,14,0,0,71,48,3,5,3,12
N00000248,278,202,190,10,2,0,76,53,1,5,5,12
N00000249,286,200,182,16,0,2,86,60,3,8,9,6
N00000250,323,208,172,34,0,2,115,74,2,7,15,17
N00000251,314,212,184,28,0,0,102,75,0,7,13,7
N00000252,273,178,150,22,0,6,95,58,1,7,13,16
N00000253,411,272,254,18,0,0,139,106,0,2,7,24
N00000254,259,176,164,12,0,0,83,50,2,3,5,23
N00000255,291,206,192,12,0,2,85,61,3,4,6,11
N00000256,641,424,378,38,2,6,217,138,4,12,20,43
N00000257,333,162,138,22,2,0,171,100,5,8,28,30
N00000258,297,206,196,8,0,2,91,59,4,2,9,17
N00000259,370,232,220,12,0,0,138,93,5,15,10,15
N00000260,421,264,222,40,0,2,157,95,6,14,17,25
N00000261,422,286,266,20,0,0,136,101,9,4,5,17
N00000262,322,198,186,10,0,2,124,78,3,6,12,25
N00000263,197,90,74,14,0,2,107,71,2,6,12,16
N00000264,410,212,190,22,0,0,198,139,2,16,22,19
N00000265,300,140,110,30,0,0,160,106,4,9,12,29
N00000266,257,152,140,12,0,0,105,68,1,4,18,14
N00000267,353,244,238,6,0,0,109,82,1,5,4,17
N00000268,319,206,202,4,0,0,113,88,1,2,11,11
N00000269,299,182,168,14,0,0,117,79,5,5,9,19
N00000270,310,202,192,8,0,2,108,72,4,9,4,19
