GeographyCode,DC2248NI0001,DC2248NI0002,DC2248NI0003,DC2248NI0004,DC2248NI0005,DC2248NI0006,DC2248NI0007,DC2248NI0008,DC2248NI0009,DC2248NI0010,DC2248NI0011,DC2248NI0012,DC2248NI0013,DC2248NI0014,DC2248NI0015,DC2248NI0016,DC2248NI0017,DC2248NI0018,DC2248NI0019,DC2248NI0020,DC2248NI0021,DC2248NI0022,DC2248NI0023,DC2248NI0024,DC2248NI0025,DC2248NI0026,DC2248NI0027,DC2248NI0028,DC2248NI0029,DC2248NI0030,DC2248NI0031,DC2248NI0032,DC2248NI0033,DC2248NI0034,DC2248NI0035,DC2248NI0036,DC2248NI0037,DC2248NI0038,DC2248NI0039,DC2248NI0040,DC2248NI0041,DC2248NI0042,DC2248NI0043,DC2248NI0044,DC2248NI0045,DC2248NI0046,DC2248NI0047,DC2248NI0048,DC2248NI0049,DC2248NI0050,DC2248NI0051,DC2248NI0052,DC2248NI0053,DC2248NI0054,DC2248NI0055,DC2248NI0056,DC2248NI0057,DC2248NI0058,DC2248NI0059,DC2248NI0060,DC2248NI0061,DC2248NI0062,DC2248NI0063,DC2248NI0064,DC2248NI0065,DC2248NI0066,DC2248NI0067,DC2248NI0068,DC2248NI0069,DC2248NI0070,DC2248NI0071,DC2248NI0072,DC2248NI0073,DC2248NI0074,DC2248NI0075,DC2248NI0076,DC2248NI0077,DC2248NI0078,DC2248NI0079,DC2248NI0080
95AA01S1,1113,161,516,24,412,1021,145,472,7,397,1020,145,472,7,396,1,0,0,0,1,12,1,0,9,2,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,1,0,5,1,58,9,36,8,5,12,3,9,0,0,25,2,13,8,2,21,4,14,0,3,15,4,6,0,5,7,2,2,0,3
95AA01S2,1829,1003,736,8,82,1818,1002,731,3,82,1818,1002,731,3,82,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,6,0,5,1,0,0,0,0,0,0,3,0,3,0,0,3,0,2,1,0,2,0,0,2,0,1,0,0,1,0
95AA01S3,1502,321,1032,15,134,1481,320,1026,5,130,1481,320,1026,5,130,0,0,0,0,0,15,1,1,10,3,2,0,0,0,2,6,1,0,5,0,4,0,0,4,0,0,0,0,0,0,3,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,3,0,1,0,0,0,0,0
95AA02W1,1734,570,1048,7,109,1715,560,1047,3,105,1714,559,1047,3,105,1,1,0,0,0,8,3,0,3,2,4,2,0,0,2,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1,5,3,1,0,1
95AA03W1,1822,195,1422,15,190,1794,190,1412,7,185,1794,190,1412,7,185,0,0,0,0,0,12,4,1,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,4,1,2,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,11,0,8,0,3,3,1,0,2,0
95AA04W1,3013,832,1979,26,176,2989,826,1973,19,171,2989,826,1973,19,171,0,0,0,0,0,9,0,3,6,0,3,0,0,3,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,0,0,1,0,4,3,1,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,10,3,2,1,4,1,0,0,0,1
95AA05W1,2701,1683,900,12,106,2681,1673,891,11,106,2680,1673,891,11,105,1,0,0,0,1,6,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,5,4,1,0,1,1,0,0,0,8,4,4,0,0,1,0,0,1,0,3,2,1,0,0,1,0,1,0,0
95AA06S1,1953,1585,319,3,46,1921,1557,316,2,46,1921,1557,316,2,46,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,13,2,0,0,4,2,1,1,0
95AA06S2,2694,2170,455,6,63,2672,2158,446,6,62,2671,2158,445,6,62,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,11,9,1,0,1,0,0,0,0,0
95AA07W1,2140,336,1680,17,107,2130,335,1679,16,100,2130,335,1679,16,100,0,0,0,0,0,3,0,0,1,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,1,0,1,0,0
95AA08W1,1698,757,761,14,166,1674,746,756,10,162,1674,746,756,10,162,0,0,0,0,0,18,10,2,3,3,6,1,2,0,3,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,1,0,0,1,0
95AA09W1,2220,491,1466,28,235,2117,474,1447,2,194,2117,474,1447,2,194,0,0,0,0,0,87,15,8,26,38,38,1,2,1,34,37,14,5,14,4,10,0,0,10,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,1,10,0,3,1,1,0,0,0
95AA10W1,1953,806,939,25,183,1902,802,926,8,166,1902,802,926,8,166,0,0,0,0,0,36,2,3,16,15,25,2,0,8,15,9,0,1,8,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,8,1,6,1,0,0,0,0,0,0,7,0,6,1,0,1,1,0,0,0,7,1,4,0,2,0,0,0,0,0
